date,flu,flu recovery,having the flu,bird flu,flu duration,flu in children,influenza a and b,cure the flu,remedies for flu,flu shots,dangerous fever,break a fever,dc flu,how long is the flu contagious,medicine for the flu,treating flu,flu like symptoms,flu how long,fever cough,flu and cold,flu lasts,the flu,flu symptoms,flu shot cvs,flu game,cold vs. flu,how long flu,how long is the flu,symptoms of flu,cold and flu,flu contagious period,treating the flu,flu children,reduce a fever,how long contagious,i have the flu,low body,flu treatment,is the flu contagious,do i have the flu,flu shot,incubation period for the flu,flu vs cold,flu and fever,flu care,flu vs. cold,human temperature,high fever,spanish flu,flu treatments,cold vs flu,influenza type a,fight the flu,the flu virus,how to treat flu,reduce fever,cdc,cold symptoms,influenza incubation period,thermoscan,normal body temperature,flu virus,how long does the flu last,fever flu,stomach flu,swine flu,flu vaccine,flu cough,over the counter flu,what to do if you have the flu,flu report,signs of flu,over the counter flu medicine,flu or cold,get rid of the flu,is flu contagious,flu germs,flu fever,early flu symptoms,how long is flu contagious,symptoms of the flu,cdc flu,taking temperature,exposed to flu,flu contagious,bronchitis,get over the flu,stomach flu symptoms,symptoms of bronchitis,cold or flu,flu medicine,flu remedies,flu complications,treat flu,how to get rid of the flu,body temperature
2010-01-01,18,0,0,0,0,0,0,0,0,21,0,0,7,0,0,0,30,12,6,6,0,9,17,2,3,0,15,0,30,11,0,0,17,0,28,0,49,3,0,0,19,0,0,21,21,0,0,34,0,0,0,0,0,0,0,0,41,42,0,0,19,0,0,15,8,100,44,0,0,0,14,14,0,21,0,0,0,34,0,17,34,16,0,0,0,46,0,4,7,26,26,0,0,0,0,90
2010-02-01,13,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,32,19,0,13,0,6,11,0,0,0,23,0,31,24,0,0,0,0,15,15,37,0,0,0,3,0,22,0,0,0,0,35,0,0,36,0,0,1,0,1,31,35,0,0,10,8,0,8,44,66,13,0,0,0,0,0,0,22,0,0,0,18,0,0,18,17,17,0,17,33,0,12,8,27,27,0,0,0,0,24
2010-03-01,13,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,29,6,6,6,0,6,8,0,1,0,7,0,14,11,0,0,0,0,20,0,40,0,0,0,1,0,0,0,20,0,21,32,0,0,0,0,0,0,0,0,39,31,0,9,18,11,0,7,47,33,12,0,0,0,0,0,0,0,0,0,0,16,0,0,16,0,0,0,0,32,0,11,3,0,25,0,0,0,0,38
2010-04-01,9,0,0,40,0,0,0,0,0,0,0,0,7,0,0,0,31,6,6,0,0,5,9,0,2,0,8,0,23,0,0,0,0,0,14,0,43,0,2,0,3,0,0,0,42,0,23,0,23,0,0,0,0,0,0,0,40,24,0,9,0,15,0,0,35,31,13,6,0,0,0,14,0,0,0,21,0,0,0,0,0,0,0,0,16,26,0,7,7,0,0,0,0,0,0,28
2010-05-01,6,0,0,21,0,0,0,0,0,7,0,0,0,0,0,0,32,0,13,6,0,6,3,0,0,0,0,0,0,12,0,0,12,0,30,0,30,0,2,0,2,0,0,0,0,0,0,35,0,0,0,0,0,1,0,0,37,20,0,0,10,8,0,8,16,30,10,0,0,0,0,14,0,0,0,0,0,18,0,0,18,17,0,0,17,39,0,0,4,0,0,0,0,0,0,83
2010-06-01,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,6,0,6,0,6,3,0,0,0,0,0,0,12,0,0,12,0,15,0,22,2,0,0,0,0,0,0,0,0,47,35,24,0,0,0,0,1,0,0,36,20,0,10,0,8,0,8,16,10,7,0,0,0,0,0,0,22,0,0,0,18,0,0,18,0,0,0,0,25,0,4,4,27,0,0,0,0,0,24
2010-07-01,4,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,30,0,6,6,0,2,4,0,0,0,0,0,0,11,0,0,0,0,14,0,21,2,0,0,0,0,0,0,0,0,45,23,0,0,0,0,0,1,0,0,39,37,0,0,0,0,0,8,11,9,0,6,0,0,0,0,0,0,0,0,0,17,0,0,0,16,0,0,0,20,0,4,0,0,0,0,0,11,0,45
2010-08-01,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,6,0,0,0,0,0,7,11,0,0,0,0,21,0,28,0,0,0,5,0,0,21,0,0,22,22,22,0,0,0,0,0,0,1,33,28,0,0,18,7,0,7,11,18,31,0,0,0,0,0,0,0,0,0,0,17,0,0,25,0,16,0,32,22,0,4,4,0,0,0,0,0,0,39
2010-09-01,17,0,0,19,0,0,0,0,0,33,0,0,7,0,0,0,0,12,6,17,0,10,8,3,1,0,14,0,0,32,0,0,11,0,40,13,27,0,0,0,22,0,0,0,0,0,21,22,0,0,0,0,0,1,0,0,44,49,0,0,9,7,0,7,22,18,42,6,0,0,0,0,0,20,0,0,0,16,16,0,0,15,15,0,15,44,0,0,4,25,25,0,0,0,0,80
2010-10-01,23,0,0,18,0,0,0,70,0,98,0,0,16,0,0,0,28,6,6,8,0,12,7,2,0,0,7,0,7,15,0,0,10,0,32,0,26,0,0,0,52,0,0,19,19,0,41,20,0,0,0,0,0,0,0,1,54,17,0,8,34,14,0,14,24,14,37,0,0,0,0,0,0,0,0,0,0,31,0,0,0,22,0,0,0,32,0,3,3,0,23,0,0,0,0,31
2010-11-01,15,0,0,0,0,0,0,0,0,29,0,0,13,0,0,0,0,6,8,0,0,12,10,3,0,0,7,0,0,0,0,0,0,0,0,0,26,1,0,0,23,0,19,19,0,0,21,51,41,0,31,0,0,0,0,0,40,43,0,9,9,7,0,14,17,6,20,6,0,0,0,12,0,19,0,20,0,31,0,0,47,15,15,0,15,24,0,0,3,24,0,0,0,10,0,72
2010-12-01,15,0,0,0,0,0,0,0,0,6,0,0,0,28,0,0,0,17,11,14,0,10,12,0,1,0,14,0,14,26,0,0,10,0,32,13,19,2,1,0,9,0,19,0,0,0,41,21,21,0,31,0,0,0,0,1,33,60,0,9,9,7,0,14,49,17,14,17,0,0,12,0,0,0,0,39,0,31,16,16,31,44,0,0,15,51,0,0,7,0,0,0,0,10,0,57
2011-01-01,23,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,14,7,7,0,17,17,2,0,0,0,8,33,12,0,0,12,0,23,16,31,2,2,0,8,0,0,0,0,0,0,75,0,0,0,0,0,0,0,1,39,67,0,0,36,8,0,13,42,10,28,0,7,0,15,0,0,24,0,71,0,28,0,28,37,18,18,0,54,53,0,8,8,29,0,0,0,0,0,62
2011-02-01,18,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,35,25,11,7,0,9,21,0,2,0,17,0,34,13,0,0,13,0,24,16,16,2,0,0,3,0,25,25,0,0,0,26,0,0,40,0,0,0,0,2,53,33,0,0,0,9,13,9,22,14,7,7,0,0,0,16,0,25,0,25,0,20,19,20,20,18,0,0,19,62,0,13,4,30,45,0,0,0,0,59
2011-03-01,14,0,0,20,0,0,0,0,0,0,0,0,14,31,0,0,0,9,6,6,0,8,9,0,0,0,15,8,15,11,0,0,0,0,29,0,64,3,2,0,6,0,0,0,21,0,0,34,0,0,0,0,0,0,0,1,65,33,0,9,14,11,8,0,23,6,12,6,0,0,0,13,0,21,0,22,0,0,0,0,17,0,16,0,32,67,0,0,6,26,0,0,0,11,0,57
2011-04-01,6,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,30,12,0,6,0,4,7,0,0,0,7,0,15,11,0,0,0,0,34,0,27,2,0,0,3,0,0,21,20,0,0,44,22,0,0,0,0,0,0,2,44,55,0,0,9,0,7,0,22,6,6,6,6,0,0,0,0,21,0,0,0,0,0,16,16,16,0,0,0,34,0,4,0,25,25,0,0,0,0,44
2011-05-01,6,0,0,16,0,0,0,0,0,6,0,0,6,0,0,0,0,7,10,10,0,2,4,0,1,0,6,0,6,18,0,0,0,0,28,0,34,1,0,0,2,0,0,0,0,0,18,45,18,0,0,0,0,0,0,0,65,15,0,0,11,9,0,0,15,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,3,3,0,0,0,0,0,0,32
2011-06-01,4,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,3,3,0,1,0,0,0,0,0,0,0,0,0,37,0,11,0,0,0,0,0,0,16,0,0,17,43,0,0,0,0,0,1,0,1,46,14,0,0,14,6,0,6,20,10,5,0,0,0,0,0,0,16,0,0,0,13,13,0,0,12,0,0,0,36,0,0,3,20,0,0,0,8,0,51
2011-07-01,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,24,5,0,9,0,3,1,0,1,0,6,0,6,17,0,0,0,0,22,0,27,0,0,0,2,0,0,16,0,0,17,17,0,0,0,0,0,0,0,1,38,25,0,0,22,0,0,0,12,0,5,5,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,21,0,3,6,20,0,0,0,0,0,39
2011-08-01,6,0,0,22,0,0,0,0,0,5,0,0,0,0,0,0,45,0,0,4,0,2,4,1,0,0,0,0,5,8,0,0,0,0,10,0,16,0,0,0,1,0,0,0,0,0,17,41,17,0,0,0,0,0,0,1,43,24,0,0,0,8,0,6,14,0,9,0,0,0,0,10,0,0,0,0,0,13,12,0,0,0,12,0,0,28,0,0,0,0,38,0,0,0,0,37
2011-09-01,19,0,0,0,0,0,0,0,0,43,0,0,5,24,0,0,0,10,5,0,0,8,8,3,1,0,6,0,6,0,0,0,9,0,27,11,44,0,0,0,28,0,0,0,0,0,0,26,26,0,0,0,0,1,0,0,48,22,0,0,11,12,6,12,6,7,29,10,0,0,0,16,0,0,0,0,0,26,0,0,13,50,12,0,0,31,0,0,6,0,20,0,0,9,0,61
2011-10-01,26,0,0,0,0,0,0,0,0,61,0,0,7,0,0,0,53,13,4,9,0,20,16,4,0,0,16,0,31,16,0,0,8,0,34,10,34,0,0,0,42,0,15,0,15,0,16,47,16,0,24,0,0,0,0,1,44,36,0,0,13,16,5,11,5,13,48,4,0,0,0,28,0,30,0,0,0,24,0,0,35,23,0,0,11,51,0,8,0,36,36,0,0,8,0,83
2011-11-01,17,0,0,0,0,0,0,0,0,18,0,0,5,0,0,0,22,0,13,11,0,10,14,1,1,0,0,0,5,21,0,0,8,0,31,21,15,0,0,0,24,0,15,0,15,0,25,25,25,0,25,0,0,1,0,1,37,41,0,7,17,6,0,8,17,5,18,5,0,0,10,39,0,16,0,0,0,19,0,0,25,12,12,0,18,55,0,5,3,19,19,0,0,8,0,49
2011-12-01,13,0,0,27,0,0,0,52,0,12,0,0,5,0,0,0,0,4,12,6,0,6,15,1,0,0,5,0,20,11,0,0,8,0,38,0,29,0,0,0,12,0,14,0,0,0,0,23,15,0,23,0,0,1,0,1,30,54,0,6,16,13,0,0,16,4,11,8,0,0,0,9,0,29,0,15,0,0,0,11,23,11,11,0,11,66,0,3,5,35,18,0,0,0,0,77
2012-01-01,19,0,0,26,0,0,0,100,0,9,0,0,7,0,0,0,40,14,4,4,0,11,19,1,1,0,15,0,10,7,0,0,0,0,32,14,28,1,0,0,8,0,0,0,14,0,15,37,44,0,0,0,0,2,0,1,36,46,0,0,25,12,10,25,82,8,8,0,0,0,0,18,0,14,0,14,0,56,0,0,17,11,0,0,21,52,0,10,2,17,17,0,0,7,0,81
2012-02-01,16,0,0,13,0,0,0,0,0,5,0,0,5,0,0,0,30,8,6,0,0,12,18,0,0,0,10,0,0,0,0,0,0,0,47,9,23,1,1,0,3,0,14,0,14,0,30,30,52,0,22,0,0,0,0,1,42,56,0,0,22,10,10,10,81,4,10,4,0,0,0,0,0,14,0,42,0,22,0,0,22,22,0,0,11,46,0,5,0,17,0,0,0,7,0,90
2012-03-01,11,0,0,23,0,0,0,0,0,4,0,0,6,18,0,0,26,4,9,5,0,8,11,0,2,0,4,4,4,10,0,0,0,0,44,0,28,1,1,0,4,0,0,12,0,0,13,26,32,0,0,0,0,0,0,2,37,27,0,0,11,4,4,7,42,5,4,0,0,0,0,8,0,12,0,12,0,15,0,10,10,0,9,0,28,35,0,6,2,15,15,0,0,0,0,36
2012-04-01,8,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,41,3,10,3,0,4,8,0,1,0,4,0,16,6,0,0,6,0,34,15,19,0,0,0,2,0,0,23,0,0,24,36,36,0,0,0,0,1,0,0,35,25,0,10,10,8,4,4,34,3,3,3,0,0,0,7,0,0,0,0,0,9,0,0,18,9,17,0,9,50,0,6,5,0,28,0,0,0,0,60
2012-05-01,8,0,0,21,0,0,0,41,0,4,0,0,0,16,0,0,49,5,13,7,0,7,9,0,1,0,4,0,8,12,0,0,0,0,15,0,26,2,0,0,0,0,0,11,11,0,12,48,18,0,0,0,0,0,0,1,33,32,0,5,7,4,0,12,18,7,0,0,0,0,7,0,0,11,0,0,0,27,0,0,9,0,17,0,0,35,0,2,2,14,14,0,0,6,0,57
2012-06-01,5,0,0,10,0,0,0,0,0,0,0,0,3,0,0,0,15,6,12,3,0,4,5,0,3,0,0,0,0,6,0,0,0,0,32,0,14,0,1,0,2,0,0,0,0,0,11,39,0,0,0,0,0,1,0,1,39,23,0,5,12,6,0,0,19,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,16,0,8,33,0,3,6,0,0,0,0,0,0,39
2012-07-01,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,26,5,7,3,0,6,5,0,0,0,8,0,9,6,0,0,0,0,36,0,16,1,1,0,1,0,0,0,0,0,0,38,0,0,0,0,0,1,0,0,38,11,0,0,11,9,4,0,13,5,7,7,0,0,0,0,0,12,0,0,0,0,10,0,10,0,0,0,0,31,0,2,2,15,15,0,0,0,0,35
2012-08-01,7,0,0,11,0,0,0,0,0,7,0,0,0,0,0,0,16,3,5,3,0,4,7,0,2,0,0,0,8,6,0,0,6,0,34,0,34,1,0,0,2,0,11,11,0,0,12,60,12,0,18,0,0,0,0,1,31,25,0,0,17,4,0,8,12,28,17,3,0,0,0,7,0,11,0,11,0,18,0,0,0,0,9,0,9,33,0,4,2,14,14,0,0,0,0,63
2012-09-01,18,0,0,18,0,0,0,0,0,25,0,0,11,19,0,0,37,4,6,4,0,11,11,2,0,0,0,0,9,7,0,0,17,0,30,17,26,0,0,0,22,0,0,0,13,0,14,41,27,0,0,0,0,2,0,1,39,65,0,0,8,5,0,5,16,6,26,0,4,0,0,8,0,0,0,0,0,10,0,10,10,20,0,0,20,49,0,2,2,0,16,0,0,0,0,58
2012-10-01,23,0,0,18,0,0,0,69,0,51,0,0,9,0,0,0,34,12,4,4,0,17,16,2,0,0,13,0,7,8,0,0,10,0,22,0,28,1,1,0,40,0,9,0,14,0,10,50,15,0,15,0,0,0,0,1,35,42,0,0,8,5,5,7,31,10,33,3,3,0,6,6,0,19,0,10,0,15,0,8,8,7,14,0,0,54,0,2,5,23,11,0,0,0,0,70
2012-11-01,17,0,0,16,0,0,0,0,0,36,0,0,11,0,0,0,37,10,15,5,0,16,7,3,1,0,6,6,6,9,0,0,9,0,28,11,23,0,0,0,27,0,17,0,0,0,18,36,36,0,27,0,0,0,0,1,43,23,0,0,11,6,6,15,22,5,23,0,0,0,0,11,0,34,0,0,0,34,0,0,0,20,13,0,13,58,0,0,3,42,21,0,0,0,0,73
2012-12-01,33,0,0,0,0,0,0,0,0,25,0,0,8,36,0,0,36,44,11,15,0,32,35,4,2,0,27,0,18,27,0,0,13,0,66,17,17,4,4,0,15,0,25,25,25,0,52,27,40,0,40,0,0,1,0,2,49,44,0,0,0,27,9,18,54,15,37,11,7,0,0,16,0,0,0,100,0,40,20,40,59,19,0,0,29,70,0,4,0,0,30,0,0,0,0,47
2013-01-01,100,0,0,18,0,0,0,0,0,80,0,0,50,27,0,0,95,49,16,16,0,76,98,13,1,0,66,7,73,30,0,0,25,0,94,25,19,5,3,0,64,0,56,19,37,0,20,70,60,0,91,0,0,4,0,1,49,62,0,17,34,51,20,37,78,33,97,17,11,0,0,48,0,28,0,75,0,83,15,15,75,100,0,0,64,100,0,18,6,34,57,0,0,30,0,75
2013-02-01,26,0,0,0,0,0,0,0,0,6,0,0,11,25,0,0,0,22,10,12,0,24,24,0,1,0,24,0,18,23,0,0,18,0,46,11,34,2,1,0,4,0,17,0,0,0,36,27,27,0,28,0,0,0,0,1,49,68,0,0,15,15,12,12,46,10,13,5,5,0,22,11,0,0,0,35,0,27,14,14,41,65,13,0,13,55,0,7,6,0,31,0,0,0,0,78
2013-03-01,19,0,0,13,0,0,0,0,0,0,0,0,4,20,0,0,20,16,8,12,0,15,21,0,0,0,14,0,5,22,0,0,7,0,41,0,18,1,0,0,1,0,14,14,14,0,43,72,29,0,22,0,0,1,0,2,40,45,0,6,12,12,15,7,59,4,8,4,4,0,0,13,0,0,0,14,0,16,11,11,16,10,0,0,26,53,0,2,5,0,33,0,0,0,0,47
2013-04-01,13,0,0,100,0,0,0,40,0,4,0,0,4,0,0,0,32,13,10,6,0,9,11,0,1,0,12,0,12,12,0,0,0,0,33,0,37,2,1,0,1,0,11,11,0,0,12,53,18,0,18,0,0,1,0,1,37,37,0,0,5,14,6,8,44,10,6,3,0,0,0,7,0,0,0,17,0,18,0,0,22,8,9,0,17,40,0,3,5,0,13,0,0,0,0,65
2013-05-01,7,0,0,24,0,0,0,0,0,4,0,0,4,0,0,0,18,5,9,7,0,8,5,0,1,0,4,0,9,14,0,0,0,0,29,0,38,2,0,0,1,0,0,13,0,0,13,40,0,0,0,0,0,0,0,1,38,36,0,6,6,14,9,5,27,0,7,0,0,0,0,0,0,0,0,0,0,10,0,0,15,19,0,0,10,33,0,2,2,0,15,0,0,0,0,60
2013-06-01,7,0,0,71,0,0,0,0,0,0,0,0,5,0,0,0,21,4,4,9,0,4,5,0,1,0,0,0,0,16,0,0,8,0,25,0,25,0,0,0,3,0,0,15,15,0,24,63,16,0,0,0,0,0,0,0,44,0,0,0,13,5,0,11,24,4,9,4,0,0,0,0,0,0,0,0,0,24,12,0,0,11,0,0,11,35,0,5,3,0,18,0,0,0,0,55
2013-07-01,4,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,18,0,27,2,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,65,24,0,0,12,20,0,0,20,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,19,0,0,5,0,0,0,0,15,0,51
2013-08-01,7,0,0,0,0,0,0,0,0,19,0,0,9,0,0,0,0,0,0,8,0,3,7,0,0,0,0,0,30,15,0,0,15,0,29,0,38,2,0,0,4,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,52,25,0,0,0,21,0,10,15,8,8,0,0,0,0,18,0,29,0,0,0,23,0,0,23,0,0,0,0,15,0,5,0,35,35,0,0,0,0,30
2013-09-01,17,0,0,0,0,0,0,0,0,30,0,0,15,0,0,0,33,10,0,10,0,7,6,2,2,0,8,0,16,18,0,0,24,0,38,0,30,0,0,0,23,0,23,0,68,0,24,48,60,0,36,0,0,1,0,0,48,30,0,0,25,25,8,8,12,0,20,0,0,0,0,15,0,0,0,0,0,18,0,0,0,35,35,0,17,22,0,4,4,0,55,0,0,0,0,42
2013-10-01,28,0,0,22,0,0,0,0,0,75,0,0,49,33,0,0,33,20,10,10,0,13,8,5,0,0,40,0,8,18,0,0,18,0,30,0,45,3,2,0,63,0,0,0,0,0,24,24,24,0,0,0,0,1,0,3,44,30,0,0,0,12,0,8,16,20,57,7,0,0,0,15,0,0,0,46,0,18,0,18,0,35,0,0,0,42,0,8,0,0,28,0,0,0,0,36
2013-11-01,19,0,0,23,0,0,0,0,0,37,0,0,20,0,0,0,0,15,21,14,0,11,5,2,2,0,0,0,9,26,0,0,13,0,16,0,49,2,0,0,24,0,25,0,0,0,0,26,26,0,40,0,0,0,0,0,59,38,0,11,0,9,9,9,18,7,44,0,0,0,0,0,0,0,0,25,0,20,0,0,0,19,0,0,38,35,0,4,6,0,0,0,0,0,0,46
2013-12-01,21,0,0,26,0,0,0,0,0,9,0,0,9,0,0,0,40,24,8,12,0,17,11,0,6,0,39,0,29,22,0,0,0,0,27,18,27,2,0,0,11,0,27,27,0,0,0,58,0,0,44,0,0,0,0,0,46,67,0,0,0,15,10,0,30,8,20,8,0,0,0,0,0,28,0,0,0,0,0,0,0,21,0,0,0,67,0,5,10,34,33,0,0,0,0,22
2014-01-01,30,0,0,19,0,0,0,0,0,10,0,0,23,59,0,0,29,24,12,15,0,27,30,2,1,0,29,7,14,27,0,0,11,0,34,14,47,0,6,0,19,0,0,20,20,0,43,54,21,0,0,0,0,1,0,0,52,45,0,9,32,22,15,18,66,9,33,0,6,0,0,0,0,20,0,61,0,41,0,32,82,23,0,0,78,41,0,5,4,25,25,0,0,0,0,70
2014-02-01,19,0,0,0,0,0,0,0,0,7,0,0,10,0,0,0,30,21,6,6,0,16,18,1,1,0,22,0,0,11,0,0,11,0,55,0,55,2,2,0,4,0,62,41,21,0,22,66,22,0,100,0,0,2,0,1,49,50,0,0,18,15,15,30,82,12,12,12,12,0,0,0,0,21,0,21,0,66,0,17,0,16,16,0,31,56,0,5,4,25,25,0,0,0,0,55
2014-03-01,10,0,0,0,0,0,0,65,0,0,0,0,12,0,0,0,77,15,0,8,0,9,10,1,2,0,12,6,31,14,0,0,9,0,29,12,18,0,0,0,4,0,0,0,18,0,38,47,19,0,0,0,0,1,0,2,48,35,0,0,8,13,6,0,48,5,5,0,0,0,0,11,0,18,0,18,0,0,14,0,21,13,27,0,14,28,0,5,0,21,0,0,0,9,0,42
2014-04-01,9,0,0,0,0,0,0,58,0,5,0,0,8,23,0,0,35,9,5,5,0,9,5,1,1,0,11,0,0,9,0,0,0,0,27,11,53,0,0,0,1,0,16,0,0,0,17,34,0,0,26,0,0,0,0,1,54,32,0,0,14,6,0,12,14,5,5,9,0,0,0,10,0,0,0,0,0,26,0,13,0,18,12,0,12,47,0,3,3,0,58,0,0,9,0,60
2014-05-01,6,0,0,74,0,0,0,0,0,0,0,0,9,0,0,0,38,0,8,0,0,6,5,0,2,0,0,0,0,0,0,0,0,0,51,0,17,0,0,0,0,0,0,0,0,0,0,28,27,0,0,0,0,0,0,0,61,40,0,0,11,9,0,19,19,8,0,0,0,0,17,0,0,0,0,0,0,42,0,0,21,20,0,0,20,25,0,0,4,0,32,0,0,0,0,41
2014-06-01,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,3,2,0,2,0,11,0,11,0,0,0,0,0,21,0,83,0,0,0,2,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,77,0,0,0,28,0,0,11,11,0,9,0,0,0,0,0,0,0,0,0,0,25,0,0,25,24,0,0,0,38,0,0,0,0,0,0,0,0,0,33
2014-07-01,4,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,31,0,9,6,0,6,2,0,0,0,0,0,0,12,0,0,0,0,29,15,14,0,0,0,2,0,0,0,0,0,0,35,23,0,0,0,0,0,0,0,58,19,0,0,19,0,0,8,20,0,6,0,0,0,0,0,0,22,0,0,0,17,0,0,0,0,33,0,0,21,0,0,4,26,26,0,0,0,0,46
2014-08-01,7,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,26,5,5,8,0,6,3,1,0,0,6,0,0,15,0,0,0,0,48,0,24,0,0,0,2,0,0,0,0,0,0,29,19,0,0,0,0,0,0,1,58,40,0,0,16,7,0,7,0,0,16,0,0,0,0,12,0,0,0,18,0,14,0,0,0,14,14,0,0,33,0,0,0,0,0,0,0,0,0,34
2014-09-01,19,0,0,41,0,0,0,52,0,42,0,0,14,21,0,0,21,10,8,4,0,9,6,3,2,0,10,5,10,8,0,0,0,0,47,0,24,1,0,0,30,0,14,0,14,0,15,45,30,0,23,0,0,1,0,0,57,32,0,6,0,10,5,5,13,6,29,4,4,0,9,14,0,0,0,0,0,11,0,0,11,27,11,0,11,43,0,2,5,0,17,0,0,15,0,57
