date,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza,influenza a and b,cure the flu,remedies for flu,flu shots,dangerous fever,break a fever,2018 flu,how long is the flu contagious,medicine for the flu,treating flu,pneumonia,fever cough,flu and cold,flu lasts,braun thermoscan,flu symptoms,cure flu,cold vs. flu,how long flu,symptoms of flu,fever reducer,cold and flu,flu contagious period,flu children,incubation period for flu,reduce a fever,how long contagious,low body,treat the flu,flu treatment,is the flu contagious,flu shot,cold versus flu,incubation period for the flu,flu vs cold,flu care,flu headache,flu vs. cold,indiana flu,high fever,flu in indiana,medicine for flu,flu treatments,influenza type a,fight the flu,flu a symptoms,influenza symptoms,how to treat flu,reduce fever,type a influenza,cold symptoms,thermoscan,normal body temperature,how to treat the flu,flu virus,cold,fever flu,stomach flu,how long does flu last,flu vaccine,flu cough,over the counter flu,contagious flu,flu report,signs of flu,over the counter flu medicine,the flu symptoms,flu or cold,get rid of the flu,is flu contagious,flu germs,flu fever,early flu symptoms,how long is flu contagious,symptoms of the flu,taking temperature,exposed to flu,flu contagious,flu length,get over the flu,stomach flu symptoms,symptoms of bronchitis,what is the flu,cold or flu,flu medicine,flu remedies,flu complications,treat flu,how to get rid of the flu,body temperature
2014-10-01,26,0,29,29,29,18,1,1,1,26,0,0,0,0,0,1,52,29,15,0,7,7,1,0,3,9,3,6,0,6,0,0,25,78,11,11,11,61,0,0,1,6,4,0,24,13,5,5,0,0,6,19,0,6,9,0,47,8,16,8,48,43,0,1,0,76,0,0,10,0,12,0,16,0,12,24,0,16,0,0,0,6,0,13,0,0,17,17,13,0,10,20,10,0,0,100
2014-11-01,18,0,31,30,30,10,1,1,1,9,0,3,0,1,1,0,54,23,23,0,0,9,0,0,1,14,6,11,6,10,0,13,35,69,11,12,12,31,0,1,2,2,2,0,6,24,16,0,0,0,0,13,10,6,9,0,42,0,8,0,8,54,1,1,0,38,5,0,5,0,5,0,20,12,0,12,0,27,0,0,0,13,7,7,0,9,9,9,14,10,31,21,0,15,0,60
2014-12-01,42,31,78,0,47,47,1,0,2,3,2,2,0,5,0,1,68,79,31,0,8,29,1,0,13,51,3,13,3,20,20,7,79,95,0,24,47,27,0,1,1,5,5,0,28,30,22,6,0,7,0,13,47,9,6,6,75,0,42,0,51,56,1,3,1,55,16,16,52,5,10,0,50,0,0,70,0,51,0,11,28,7,10,68,0,18,56,51,70,0,32,42,0,5,5,76
2015-01-01,29,0,0,0,0,25,2,1,1,1,1,3,0,4,0,0,57,31,23,0,0,23,1,0,6,33,0,11,0,13,10,6,49,41,18,18,41,7,0,1,4,8,6,0,26,16,19,11,0,7,0,30,26,6,6,6,56,17,50,0,50,63,1,3,0,36,5,5,39,5,12,5,42,13,13,25,0,28,0,6,28,14,0,50,0,9,32,23,41,10,42,32,21,5,0,100
2015-02-01,20,34,34,67,0,15,0,1,0,0,2,2,0,0,0,1,68,60,9,0,0,19,0,0,5,14,3,7,0,18,0,0,46,77,0,19,13,9,0,0,2,0,5,0,10,12,0,6,0,0,0,25,18,7,7,0,57,9,18,0,18,57,1,4,0,25,8,11,14,0,8,0,16,21,14,14,0,24,0,6,12,0,7,18,7,20,35,20,30,17,23,23,0,11,5,49
2015-03-01,15,0,32,0,32,18,1,0,1,1,0,1,0,2,0,0,66,25,8,0,0,13,0,0,7,7,0,8,0,7,0,0,31,74,0,31,12,5,1,0,0,3,0,0,11,29,6,0,6,7,7,17,7,7,0,7,59,9,44,0,35,48,0,2,0,5,22,0,22,0,5,0,10,13,0,33,0,18,0,0,23,0,7,28,0,0,24,19,34,11,44,22,0,0,0,74
2015-04-01,16,0,0,0,0,17,1,0,0,0,0,0,0,0,0,0,45,32,8,0,0,16,0,0,1,20,7,3,0,0,14,7,20,43,0,12,0,2,0,1,0,3,0,0,17,23,6,11,0,0,0,14,10,6,6,0,51,17,0,0,44,49,0,2,0,8,5,11,11,0,5,0,33,13,13,26,0,0,0,6,23,7,7,14,7,0,29,19,48,11,33,0,0,5,5,37
2015-05-01,9,0,0,35,0,13,1,0,0,0,1,0,0,1,1,0,31,9,17,0,0,7,0,0,3,5,0,7,0,0,0,7,14,52,0,0,0,1,0,0,0,0,3,0,13,36,12,6,0,7,0,0,7,0,10,7,41,0,37,0,9,42,0,2,0,11,9,0,11,0,5,0,0,14,0,14,0,0,0,0,0,8,0,15,0,10,10,20,26,12,23,0,0,0,0,45
2015-06-01,7,0,0,0,0,4,1,0,1,2,2,2,0,0,0,0,33,29,0,0,0,4,0,0,1,8,0,0,0,0,8,8,24,36,0,0,0,1,0,0,1,0,0,0,6,20,7,0,0,0,0,0,8,0,0,0,19,0,0,0,10,36,0,1,0,19,0,0,0,0,6,0,6,16,0,0,0,0,0,0,0,8,0,0,0,0,23,11,11,13,0,0,0,0,0,37
2015-07-01,4,0,0,0,0,5,0,0,0,0,2,2,0,0,0,0,30,0,9,0,0,2,0,0,0,4,4,4,0,0,0,8,23,54,0,14,0,1,0,0,1,0,3,0,3,32,6,0,0,0,0,0,0,0,14,0,25,0,19,0,0,38,0,1,0,9,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,8,0,8,0,0,0,11,11,0,12,0,0,0,0,46
2015-08-01,6,0,0,0,0,6,1,0,1,3,0,1,0,0,0,0,37,16,0,0,0,2,1,0,0,7,5,0,0,7,0,0,17,43,0,0,0,6,0,0,0,0,0,0,5,23,0,0,0,0,0,10,0,0,0,0,22,0,9,0,0,40,0,1,0,13,5,0,0,5,5,0,10,0,13,0,0,0,0,0,0,7,0,0,0,0,10,0,14,0,0,0,0,0,5,37
2015-09-01,12,0,0,0,0,9,0,0,0,12,1,1,0,0,0,0,53,22,22,0,0,4,1,0,1,3,6,12,0,0,0,6,35,68,0,11,0,23,0,0,1,0,0,0,7,37,5,0,0,0,0,13,6,0,6,0,56,0,16,0,8,39,0,1,0,45,10,0,10,0,5,0,5,0,0,0,0,0,5,0,5,0,0,13,0,0,9,0,9,0,20,0,0,15,0,82
2015-10-01,23,0,30,0,0,8,2,1,0,21,1,3,0,0,0,0,78,69,15,0,0,8,1,0,3,6,9,6,0,13,6,0,32,52,0,23,12,63,0,0,0,2,2,0,16,29,16,5,0,7,0,26,7,0,9,6,30,0,16,0,16,46,0,1,0,76,5,0,10,0,10,0,7,12,0,0,0,5,0,0,17,0,0,13,7,0,27,22,27,10,10,21,10,0,0,68
2015-11-01,16,0,31,0,30,13,1,0,0,11,1,5,0,0,1,0,60,15,31,0,0,6,1,0,3,14,6,14,6,6,0,0,39,70,0,23,0,29,0,0,2,2,0,0,2,22,11,5,0,0,0,13,10,0,6,0,49,8,17,0,8,52,1,2,0,46,10,0,10,0,5,0,12,0,0,0,0,28,0,0,6,0,0,13,0,9,18,27,23,0,21,10,0,0,0,59
2015-12-01,14,0,29,0,0,8,0,0,0,4,1,1,0,1,0,0,75,45,15,0,0,10,1,0,5,7,3,8,0,0,0,6,50,50,22,22,22,12,0,0,2,2,2,0,6,26,5,5,0,0,0,13,0,9,9,0,50,8,32,8,8,50,0,3,0,7,5,5,12,0,0,5,23,12,0,18,0,11,0,5,5,13,0,16,13,0,18,26,13,10,15,20,0,14,0,48
2016-01-01,14,0,20,0,20,8,0,1,2,2,1,2,0,0,0,0,60,20,25,0,0,8,0,0,3,7,0,8,0,0,0,4,33,41,15,0,0,3,0,1,2,0,0,0,24,26,17,3,0,0,0,17,4,4,12,0,57,0,16,5,26,63,0,2,0,10,7,0,7,0,9,0,9,8,0,8,0,4,4,0,7,13,0,9,0,0,15,15,20,7,13,13,0,13,0,44
2016-02-01,16,0,40,0,0,21,0,1,1,1,2,1,0,1,1,0,71,46,41,0,0,12,0,0,2,11,3,12,2,4,4,4,40,95,0,23,8,5,0,0,3,0,2,0,4,23,11,0,0,4,0,9,6,4,4,4,46,11,5,0,38,55,0,2,0,17,10,7,13,0,6,6,14,16,16,12,8,11,0,0,15,11,4,17,4,0,21,9,27,14,17,7,0,3,0,42
2016-03-01,23,0,38,0,19,27,0,1,1,3,3,2,0,1,1,1,64,34,34,0,15,20,0,0,6,14,4,12,2,6,16,0,57,99,0,7,15,4,0,1,1,2,5,0,13,44,9,7,0,0,0,21,16,0,15,0,54,0,10,0,31,47,1,2,1,16,13,3,26,0,14,0,18,8,8,31,8,38,3,0,10,15,6,34,0,14,31,26,34,7,30,0,0,0,3,56
2016-04-01,13,0,19,19,0,13,0,0,0,1,1,3,0,1,0,0,51,29,10,0,0,9,0,0,4,11,5,7,0,0,4,0,33,96,7,7,15,3,0,0,1,0,2,0,6,21,10,3,0,0,4,4,8,0,4,0,29,5,16,0,31,47,0,2,0,15,3,0,5,0,3,0,19,16,16,20,0,7,0,4,11,4,4,6,0,6,14,20,20,13,7,10,7,0,0,47
2016-05-01,9,0,0,0,0,6,0,1,1,1,1,2,0,0,0,0,35,25,10,0,0,6,0,0,2,6,0,8,0,4,0,0,23,45,0,15,0,2,0,0,0,2,0,0,4,25,7,0,0,0,0,9,9,0,0,0,34,5,16,0,11,47,0,1,0,10,3,0,3,0,3,0,6,8,0,0,8,11,0,0,0,11,0,4,0,0,9,30,9,7,14,14,7,0,0,42
2016-06-01,5,0,22,0,0,2,0,0,0,0,1,2,0,0,0,0,33,11,11,0,0,4,0,0,1,4,3,4,0,0,0,0,41,66,0,0,0,2,0,0,0,2,0,0,4,25,4,0,0,0,0,0,0,4,13,0,13,0,12,0,6,40,0,1,0,7,4,0,7,0,3,0,7,0,0,0,0,16,0,0,0,14,0,9,0,6,19,6,0,0,7,0,0,0,0,25
2016-07-01,4,0,21,0,21,4,0,0,1,1,0,2,0,0,0,0,25,11,0,0,0,3,0,0,0,5,2,0,0,0,0,4,24,28,0,0,0,1,0,0,0,2,2,0,3,22,4,4,0,0,0,9,7,4,4,0,21,0,0,0,0,40,0,1,0,7,0,0,4,0,0,0,7,9,0,0,0,4,0,0,8,7,0,5,0,0,6,6,0,7,0,0,7,3,0,24
2016-08-01,6,0,0,0,0,7,0,0,0,2,1,0,0,0,0,0,32,5,10,0,0,4,0,0,0,5,3,3,0,0,0,0,21,63,7,11,0,4,0,0,0,2,2,0,2,17,3,4,0,0,0,4,13,4,4,0,28,0,21,0,21,40,0,1,0,12,3,0,10,0,0,0,5,8,8,8,0,11,4,0,7,4,0,13,0,0,6,12,6,7,0,0,0,3,3,26
2016-09-01,12,0,0,37,0,8,0,0,0,10,2,1,0,1,0,0,77,19,19,0,0,3,0,0,2,4,2,6,0,8,0,0,34,85,7,14,0,26,0,0,2,3,2,0,9,27,3,3,0,0,4,8,4,4,4,0,24,0,10,0,25,42,0,1,0,30,5,0,3,6,6,0,4,11,8,0,15,17,0,0,0,4,0,4,0,0,6,8,6,10,6,6,0,3,0,73
2016-10-01,20,0,0,0,0,8,0,0,0,19,2,0,0,0,0,0,53,19,28,0,5,10,0,0,3,9,4,9,0,4,0,4,22,53,11,14,7,69,0,0,1,4,2,0,16,22,12,3,0,0,0,10,6,0,11,0,48,5,10,5,15,46,0,1,0,64,5,0,6,0,9,0,9,11,8,8,0,13,0,7,10,4,0,8,0,0,11,8,8,9,13,6,6,0,0,76
2016-11-01,16,0,18,36,18,9,0,0,0,11,2,4,0,1,0,0,65,27,18,0,0,13,1,0,2,8,4,13,0,4,4,0,23,48,0,7,7,33,0,0,1,2,1,0,11,24,11,6,0,0,0,12,10,4,4,0,34,0,5,5,30,54,0,2,0,38,3,0,6,0,8,0,16,7,0,7,0,10,6,3,10,4,0,8,0,5,13,21,13,6,15,6,0,3,3,59
2016-12-01,17,0,18,0,0,9,1,1,1,4,1,4,0,1,1,0,70,27,45,0,9,7,0,0,6,10,5,14,2,6,4,4,34,67,13,17,7,12,0,1,1,0,3,0,12,22,9,3,0,4,0,6,9,7,9,4,67,0,5,0,14,78,0,4,0,15,7,3,18,0,8,3,14,14,7,14,7,13,3,0,22,8,8,23,4,8,16,16,24,12,27,9,0,6,3,34
2017-01-01,20,17,34,0,0,17,1,0,1,2,1,1,0,0,1,0,68,34,21,0,0,17,1,0,5,14,5,10,0,7,7,7,52,64,10,13,13,10,0,0,1,4,2,0,11,26,12,6,0,4,0,11,22,3,7,3,61,5,14,5,32,60,0,5,0,16,3,4,10,0,7,3,18,7,14,7,7,15,0,3,12,17,7,13,0,0,33,23,23,6,29,20,11,6,0,70
2017-02-01,28,18,45,18,18,45,2,0,2,3,1,2,0,1,1,0,68,22,31,0,0,27,0,0,5,20,2,16,0,13,6,4,49,51,17,34,14,9,0,0,2,2,2,0,18,41,8,5,0,11,4,31,48,7,9,11,56,10,15,10,49,53,1,3,1,9,13,4,15,0,16,3,36,11,7,33,0,32,3,6,48,14,6,19,0,0,40,19,67,9,37,27,6,6,6,70
2017-03-01,21,0,57,16,16,42,1,2,1,1,1,2,0,1,1,1,61,37,33,0,4,15,0,0,5,14,4,12,2,3,10,3,41,56,6,31,12,7,0,1,1,3,3,0,9,30,0,10,0,5,7,16,42,3,11,5,49,13,13,13,31,53,1,3,1,18,10,6,37,3,13,3,23,17,10,27,7,26,3,6,29,11,11,48,0,5,19,12,24,14,22,28,6,8,0,59
2017-04-01,11,0,0,17,0,16,0,1,1,1,1,3,0,1,1,0,53,18,22,0,0,8,1,0,1,5,2,8,0,4,0,4,26,60,0,13,7,4,0,0,1,1,1,0,2,34,9,3,0,0,0,6,9,3,4,0,35,0,5,0,0,52,0,1,0,7,3,0,15,3,6,0,11,11,7,7,0,13,0,0,13,6,0,19,0,5,16,21,21,9,0,6,0,3,0,62
2017-05-01,6,0,0,0,0,5,1,0,1,1,1,1,0,1,1,0,40,13,9,0,0,4,0,0,2,7,0,4,0,4,4,0,26,63,0,7,10,3,0,0,1,1,1,0,10,31,3,6,0,4,0,4,7,4,4,3,37,5,0,5,19,51,0,1,0,10,0,0,3,3,0,0,4,21,0,14,0,0,0,0,3,4,0,4,0,5,5,5,31,18,9,0,0,3,3,45
2017-06-01,6,0,0,0,20,4,0,0,1,0,2,1,0,0,0,0,33,20,25,0,0,3,0,0,1,3,2,6,0,4,0,0,15,26,0,15,0,3,0,0,0,0,0,0,2,35,3,0,0,0,0,4,4,4,6,0,18,0,5,0,16,43,0,1,0,8,3,0,3,0,3,0,3,8,0,16,8,11,0,0,4,0,0,4,4,0,15,6,6,7,7,7,0,6,0,45
2017-07-01,6,0,19,0,0,5,0,1,0,1,0,0,0,0,1,0,30,19,24,0,0,3,0,0,1,6,2,6,0,0,0,4,35,52,0,0,0,1,0,0,0,0,2,0,6,19,7,5,0,0,0,8,4,0,4,0,23,0,16,0,0,41,0,1,0,10,0,3,3,0,0,3,5,8,0,8,0,0,0,0,3,4,0,4,0,0,9,12,12,7,13,0,20,3,0,38
2017-08-01,7,0,0,0,0,8,1,0,0,3,1,1,1,1,0,0,32,13,9,0,4,4,0,0,1,9,2,3,0,7,0,0,39,74,0,13,6,5,0,0,1,0,3,0,3,21,12,6,0,0,0,11,4,0,3,0,34,0,0,0,14,39,0,1,0,20,3,0,4,0,5,0,11,14,7,7,0,6,0,3,3,4,0,6,0,0,13,18,10,11,17,0,0,0,0,39
2017-09-01,13,0,16,16,0,6,0,0,1,9,1,1,0,0,0,0,45,17,21,0,0,9,0,0,2,5,3,14,0,0,4,0,30,47,6,26,0,28,0,0,0,1,3,0,6,24,3,6,0,0,0,5,5,3,3,0,25,5,23,0,23,45,0,1,0,38,3,0,6,0,4,0,11,14,0,14,0,3,0,6,9,7,0,7,0,0,10,17,15,11,9,6,6,3,0,35
2017-10-01,20,0,16,16,0,11,0,1,1,22,1,2,1,1,1,0,50,4,17,0,0,9,1,0,4,12,3,9,0,3,0,0,43,90,6,6,6,60,0,0,1,1,3,0,9,15,3,6,0,0,0,10,7,0,3,0,51,0,22,0,9,49,0,1,0,49,7,3,5,0,5,0,16,13,0,7,0,9,3,6,6,7,0,7,0,10,12,19,19,11,8,6,0,3,3,50
2017-11-01,18,0,16,0,0,11,0,0,0,10,1,2,1,0,1,0,55,21,41,0,0,19,0,0,2,12,5,16,0,3,0,0,31,91,0,22,13,32,0,1,1,1,3,0,9,26,6,9,0,0,3,12,7,3,3,0,63,4,13,0,22,60,1,2,0,52,11,3,7,5,10,0,16,20,0,7,13,24,0,0,9,4,4,9,4,15,12,24,29,17,17,6,0,3,0,75
2017-12-01,33,17,34,34,17,32,1,1,1,10,1,3,1,1,1,0,78,30,73,0,4,25,0,0,9,19,0,21,2,4,9,7,100,77,13,22,19,27,1,0,3,7,3,0,23,30,8,8,0,7,7,18,31,7,5,7,53,0,27,0,37,80,1,5,1,27,9,3,21,3,14,0,34,21,10,48,7,37,0,9,3,15,7,28,0,10,20,18,43,17,29,20,6,6,0,50
2018-01-01,100,47,95,63,24,100,2,2,2,10,1,2,99,5,1,1,97,100,84,0,4,100,3,0,29,88,4,33,3,30,12,3,94,93,30,69,99,46,1,1,5,10,10,0,100,45,100,24,3,17,7,69,100,14,14,16,100,4,21,17,94,82,3,6,2,74,41,15,77,13,42,8,100,19,19,100,23,100,14,26,63,14,23,100,0,9,54,31,92,16,100,35,5,33,5,57
2018-02-01,91,34,59,34,17,81,3,3,2,7,3,2,100,3,2,1,82,51,72,0,0,91,2,0,26,100,3,27,2,19,16,4,88,70,19,80,32,33,1,1,6,10,8,0,84,48,64,21,6,22,7,36,81,7,12,20,82,5,27,14,100,56,3,4,1,42,34,15,63,8,64,8,94,27,7,68,7,100,18,18,73,7,7,82,0,7,42,27,100,23,80,31,9,16,8,63
2018-03-01,24,0,0,15,15,31,1,1,1,1,1,2,22,1,1,1,60,47,19,0,0,27,1,0,6,24,3,13,2,15,0,3,46,50,12,26,9,6,0,0,2,1,4,0,21,30,8,5,0,0,3,18,17,6,8,0,37,4,13,0,21,56,1,2,0,14,9,6,19,2,7,2,23,19,0,22,6,31,0,6,14,7,3,25,0,5,25,18,44,16,32,16,0,8,3,35
2018-04-01,14,0,16,16,0,21,1,0,1,0,1,0,13,1,0,0,61,36,12,0,4,10,0,0,5,11,2,6,2,0,7,0,32,88,12,9,6,2,0,1,1,2,4,0,10,20,6,3,3,0,3,10,17,3,5,0,41,0,26,4,17,56,0,2,0,19,5,8,13,3,15,0,14,13,0,13,13,17,0,0,9,5,4,17,3,0,14,14,14,11,8,5,0,3,3,49
2018-05-01,7,0,32,0,16,6,0,0,0,0,0,1,4,1,0,0,42,4,4,0,0,4,0,0,2,5,2,3,0,3,0,0,25,49,0,9,6,2,0,0,0,3,3,0,4,13,3,6,3,0,0,7,3,0,6,0,23,0,22,0,4,48,0,1,0,5,3,3,5,0,4,0,6,7,7,13,6,6,0,0,15,4,0,7,0,0,5,9,12,5,14,0,6,0,3,34
2018-06-01,5,0,0,0,0,4,0,1,1,1,1,1,3,0,0,0,34,22,13,0,0,2,0,0,0,7,3,6,0,0,0,0,32,47,0,7,7,2,0,0,1,0,1,0,1,35,0,0,0,0,0,4,0,0,4,0,39,0,9,0,5,44,0,1,0,7,4,0,3,3,7,0,6,0,0,0,0,0,0,0,3,12,0,4,4,0,10,5,10,0,0,6,0,0,0,48
2018-07-01,6,0,0,0,0,3,0,1,1,0,1,2,4,0,0,0,32,17,4,0,4,7,0,0,3,12,0,3,0,0,0,0,31,55,6,0,6,4,0,0,1,3,0,0,8,20,3,3,0,0,0,7,4,3,3,0,15,0,5,0,19,46,0,1,0,10,0,0,3,0,3,0,8,7,7,0,0,9,0,0,9,7,0,4,0,0,8,10,5,6,6,12,6,0,0,42
2018-08-01,7,0,0,16,16,3,0,0,1,3,0,1,6,1,0,0,41,8,28,0,4,9,0,0,2,5,4,10,0,3,0,5,37,42,0,9,6,8,0,0,1,2,5,0,4,18,4,3,3,0,0,7,7,0,8,0,47,4,13,0,0,44,1,1,0,20,5,0,8,0,3,0,9,19,0,6,0,23,0,3,11,12,0,10,0,5,9,14,7,16,16,5,0,0,0,49
2018-09-01,14,16,16,16,0,9,1,0,1,14,1,1,12,0,0,0,46,4,24,0,4,5,0,0,0,2,3,12,0,3,0,3,32,57,0,0,6,30,0,0,2,1,0,0,6,23,6,4,0,0,0,10,3,0,6,0,46,9,9,0,17,45,0,1,0,41,5,3,3,0,3,0,4,13,13,0,0,0,0,0,9,3,3,3,0,0,5,9,17,11,14,5,0,3,3,67
2018-10-01,32,16,31,16,0,9,1,0,1,32,1,1,24,1,1,1,66,28,20,0,0,15,0,0,3,9,2,11,0,3,3,3,33,51,0,9,6,89,1,0,1,5,8,0,15,24,18,4,0,3,3,13,7,3,6,3,47,0,17,0,30,54,1,2,0,91,16,4,7,3,9,0,18,19,6,6,6,23,3,3,9,9,0,9,0,0,9,14,33,16,38,5,8,5,0,43
2018-11-01,24,0,56,0,0,15,0,0,0,15,1,2,19,1,0,0,63,28,20,0,0,14,0,0,4,14,2,9,2,7,3,0,40,73,6,18,9,47,0,0,1,1,3,0,5,21,9,0,3,0,3,5,9,5,3,0,66,4,4,4,30,64,0,2,0,39,8,0,15,0,13,0,14,6,0,10,6,17,0,3,0,14,0,19,4,0,31,12,36,5,16,11,0,0,0,52
2018-12-01,26,0,42,17,0,14,1,1,1,6,1,1,13,1,1,0,69,42,29,0,0,18,0,0,7,19,2,12,0,5,4,0,63,86,6,28,19,18,0,0,3,3,3,0,9,30,7,13,0,7,4,12,12,7,5,7,69,9,18,5,9,88,1,5,1,25,10,4,20,3,11,0,25,34,14,24,14,30,0,6,24,0,15,25,4,7,30,7,20,28,43,17,6,3,3,68
2019-01-01,31,0,23,0,16,24,1,1,0,5,2,2,5,2,1,1,75,27,59,0,0,26,1,0,9,26,2,21,3,11,0,0,52,56,9,29,21,16,0,1,2,2,4,0,16,19,8,8,0,3,3,31,13,5,14,3,56,8,21,13,33,100,1,4,1,22,8,6,32,5,15,2,26,22,6,41,13,31,0,3,20,7,13,42,3,5,44,12,44,18,50,11,0,10,0,65
2019-02-01,33,16,33,0,0,49,1,0,1,2,1,2,2,1,2,1,80,25,42,0,0,28,0,0,10,36,5,19,0,14,3,4,59,91,13,16,6,12,0,1,2,5,5,0,25,46,19,10,0,9,0,32,46,5,10,8,65,0,18,0,58,76,1,3,1,30,17,3,44,3,20,0,40,20,10,40,20,45,3,12,36,13,14,58,4,0,39,22,42,17,48,11,11,3,3,83
2019-03-01,41,31,63,31,16,67,2,1,1,1,2,3,3,1,1,1,85,36,64,0,4,36,1,0,13,30,4,29,2,7,13,0,63,66,9,48,45,11,0,1,3,3,2,0,21,39,24,11,3,12,0,50,81,11,11,11,66,4,9,4,26,63,2,5,1,18,22,5,43,3,14,2,39,19,26,83,6,79,0,11,11,3,10,56,3,9,23,19,40,16,38,29,5,5,0,89
2019-04-01,16,0,16,16,0,20,1,0,1,2,1,1,1,1,1,0,61,29,24,0,0,10,0,0,4,9,2,13,0,0,3,0,38,90,12,12,6,3,0,0,2,1,4,0,5,26,3,4,3,7,4,14,23,7,7,7,23,0,9,0,27,54,1,2,1,7,4,3,19,3,6,8,8,10,7,17,7,35,3,0,12,4,4,25,0,5,24,39,24,8,28,6,6,0,0,53
2019-05-01,8,16,0,0,0,9,0,1,1,1,1,1,1,0,0,0,48,16,12,0,0,8,1,0,1,10,2,7,0,0,3,0,27,49,0,6,6,2,0,1,1,2,0,0,4,29,3,4,0,0,0,17,12,3,7,0,42,0,9,0,4,54,0,1,0,4,3,0,10,0,3,0,12,13,0,10,0,15,0,0,15,11,4,12,0,0,12,15,22,11,17,6,0,0,3,56
2019-06-01,5,0,18,0,0,4,0,0,0,0,1,2,0,0,1,0,45,9,13,0,0,3,0,0,1,4,5,7,0,0,0,0,22,27,10,20,7,2,0,1,1,1,1,0,1,25,3,3,0,0,0,4,4,0,11,0,32,0,10,0,0,45,0,1,0,9,7,3,3,0,4,0,6,0,0,0,0,10,3,0,10,6,4,4,0,0,11,11,5,0,12,0,0,3,0,40
2019-07-01,5,0,0,17,17,7,0,0,0,1,1,1,1,0,1,0,34,22,9,0,4,2,0,0,1,5,0,3,2,0,0,4,29,62,0,6,0,2,0,0,0,2,0,0,1,26,0,3,0,4,0,4,0,3,3,3,14,0,5,0,9,45,0,1,0,9,3,0,0,0,3,0,3,0,0,0,0,6,0,0,0,7,0,0,0,0,15,5,10,0,6,6,0,0,3,33
2019-08-01,8,0,0,0,0,5,0,0,1,3,0,3,0,0,1,0,45,12,23,0,4,2,0,0,1,5,2,11,0,3,0,0,45,46,0,12,0,5,0,0,1,0,1,0,2,27,5,3,0,0,0,7,3,0,3,0,47,0,17,4,17,47,0,1,0,13,4,3,3,0,4,2,0,6,0,6,0,5,0,0,0,7,0,3,3,5,9,7,7,5,18,0,0,0,0,45
2019-09-01,18,0,23,0,0,6,1,0,1,15,1,2,1,0,1,0,59,12,38,0,0,11,0,0,2,8,2,16,2,3,0,3,24,72,0,6,12,47,0,0,1,2,1,0,11,15,8,3,5,0,0,6,8,3,3,0,50,4,25,0,16,48,0,1,0,37,6,0,4,2,7,2,11,6,6,6,0,11,0,0,14,7,3,5,3,0,0,9,16,5,16,8,0,0,0,62
2019-10-01,34,15,15,0,0,17,1,0,1,29,1,1,2,0,0,0,73,27,34,0,0,16,0,0,5,18,2,11,0,3,3,3,35,51,11,11,6,100,0,0,2,7,4,0,31,16,21,5,3,6,5,24,14,8,6,6,62,0,20,0,20,57,1,2,0,81,10,3,9,0,6,0,25,9,0,12,0,38,3,0,8,5,0,11,0,4,18,16,31,8,51,5,5,7,0,68
2019-11-01,26,0,37,15,0,11,0,1,1,16,1,2,1,1,0,0,68,26,37,0,0,18,1,0,6,14,3,16,0,12,5,0,62,62,17,11,22,60,1,0,1,3,2,0,11,33,10,4,3,3,0,16,8,4,3,3,59,0,16,4,20,73,1,2,0,57,11,2,14,5,7,2,12,24,6,15,6,29,0,3,8,6,0,18,3,4,22,18,13,20,28,10,10,7,0,39
2019-12-01,35,0,45,15,0,31,1,1,0,7,3,3,1,2,2,1,100,23,91,0,4,31,1,0,10,28,5,34,0,8,5,6,82,71,14,23,26,30,0,0,2,4,4,0,13,37,12,17,5,6,0,22,27,4,10,6,58,0,12,12,36,70,1,4,1,27,15,6,39,0,24,0,25,30,6,40,9,41,8,5,5,10,15,50,3,4,31,20,38,25,41,20,5,12,2,36
