date,flu,flu recovery,having the flu,bird flu,flu duration,flu in children,influenza,influenza a and b,cure the flu,flu season,flu shots,dangerous fever,break a fever,how long is the flu contagious,medicine for the flu,treating flu,flu like symptoms,flu how long,fever cough,flu and cold,flu lasts,the flu,flu symptoms,cure flu,cold vs. flu,how long is the flu,symptoms of flu,fever reducer,cold and flu,treating the flu,flu children,flu iowa,incubation period for flu,how long contagious,i have the flu,low body,treat the flu,is the flu contagious,do i have the flu,flu shot,flu 2018,incubation period for the flu,flu vs cold,flu and fever,flu care,flu vs. cold,flu symptoms 2018,human temperature,high fever,medicine for flu,flu treatments,cold vs flu,influenza type a,influenza symptoms,the flu virus,how to treat flu,reduce fever,type a influenza,influenza incubation period,thermoscan,normal body temperature,how long does the flu last,fever flu,stomach flu,how long does flu last,influenza a,swine flu,flu vaccine,flu cough,contagious flu,what to do if you have the flu,flu report,flu in iowa,over the counter flu medicine,normal body,flu or cold,get rid of the flu,flu germs,ear thermometer,flu fever,early flu symptoms,symptoms of the flu,treatment for flu,cdc flu,taking temperature,flu contagious,flu length,bronchitis,get over the flu,symptoms of bronchitis,oscillococcinum,cold or flu,flu medicine,flu shot side effects,flu complications,signs of the flu,treat flu,body temperature
2010-01-01,15,0,0,0,0,0,3,0,0,0,31,0,0,0,0,0,0,0,0,0,0,5,11,0,0,0,28,0,0,0,0,32,0,33,0,50,33,7,0,6,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,10,0,0,0,0,0,0,0,58,0,0,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,57,72
2010-02-01,11,0,0,9,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,22,0,5,13,0,0,0,27,0,27,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,5,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,72,0,0,55,0,35
2010-03-01,4,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,19,0,0,0,9,9,0,0,0,24,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,33,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,61
2010-04-01,6,0,0,24,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,80,80,0,17,34,0,0,9,0,0,0,0,0,0,0,41,41,0,0,46,46,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,49,0,47
2010-05-01,6,0,0,9,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0,0,11,0,0,0,0,0,0,0,46,0,0,0,0,51,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,53
2010-06-01,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,22,0,0,6,0,0,0,0,0,0,0,53,0,0,0,0,0,0,54,0,0,54,0,0,17,0,0,0,0,0,0,0,0,0,41
2010-07-01,6,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,100,0,0,0,0,0,6,0,0,0,0,0,0,0,0,18,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,6,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,40
2010-08-01,9,0,0,0,0,0,8,3,0,0,32,0,0,0,0,0,0,24,0,0,0,6,0,0,0,0,0,0,0,0,17,25,0,35,0,0,0,0,0,10,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,100,0,0,0,32,0,0,0,0,0,0,0,0,0,38
2010-09-01,16,0,0,8,0,0,7,0,0,0,100,0,0,0,0,0,0,0,0,0,0,12,5,0,0,0,0,0,0,0,15,15,0,62,0,31,0,0,0,27,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,5,8,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,44,0,0,0,21,0,70,0,0,0,0,0,0,0,67
2010-10-01,21,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,20,0,0,0,14,5,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,12,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,43,43,0,0,49,0,0,0,0,0,52,0,0,0,0
2010-11-01,18,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,30,0,0,0,14,21,5,0,0,25,0,0,0,0,14,0,29,0,30,0,6,0,31,0,0,0,0,0,0,0,0,16,0,0,0,0,18,0,0,0,0,0,0,0,17,0,43,17,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,100,0,0,0,32
2010-12-01,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,14,17,0,0,0,50,0,0,0,0,14,0,0,0,0,0,0,0,9,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,52,0,5,10,5,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,42,0,0,34,0,0,0,0,0,0,0,0,0,64
2011-01-01,19,3,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,20,0,32,0,22,19,0,0,10,30,0,40,0,6,23,0,24,12,12,0,2,2,8,0,0,0,38,0,0,0,20,20,0,0,0,37,7,4,0,0,33,0,0,0,0,14,48,7,8,2,0,0,0,0,0,0,0,100,16,0,18,0,37,0,51,17,0,17,5,0,38,5,0,0,0,0,20,0,20,0,32
2011-02-01,21,0,0,3,3,0,14,1,0,0,11,0,0,0,0,0,0,17,21,8,0,17,17,0,0,10,20,0,10,0,6,18,0,24,0,43,0,0,0,2,0,0,0,0,40,0,0,7,20,39,0,0,0,13,0,0,0,0,0,0,67,0,14,25,0,18,2,4,2,16,0,0,0,0,42,0,0,0,19,38,19,17,0,17,0,6,0,56,0,27,0,0,27,21,0,0,0,73
2011-03-01,12,0,0,0,3,0,12,0,0,0,0,0,10,0,0,0,0,23,15,8,0,13,10,0,0,0,28,9,9,0,11,16,0,33,11,11,0,0,4,3,0,0,36,36,0,0,0,12,12,35,0,35,35,15,0,0,0,0,30,0,30,0,6,16,0,15,3,2,0,15,0,0,0,0,15,0,0,0,0,17,0,32,0,16,0,5,0,59,5,25,25,0,0,0,0,0,19,78
2011-04-01,9,0,3,0,0,0,4,0,0,0,16,0,10,0,0,0,31,8,0,8,0,8,5,2,0,0,9,0,10,0,0,8,0,11,0,28,0,0,0,2,0,0,0,0,0,0,0,6,13,0,0,0,0,3,3,0,0,0,31,0,31,0,0,10,0,5,4,0,0,0,0,0,15,0,93,0,16,17,17,0,0,0,0,0,16,0,0,68,0,76,0,0,0,0,0,0,0,49
2011-05-01,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,2,0,0,0,0,0,0,0,0,6,0,35,0,17,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,32,0,7,7,0,2,4,0,0,0,0,16,0,0,32,0,0,0,18,18,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,44
2011-06-01,3,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,9,0,0,4,0,0,0,0,0,0,0,0,0,6,0,20,0,0,0,0,0,3,0,0,0,0,0,0,0,0,15,0,0,0,0,4,0,0,0,0,0,0,73,0,0,8,0,2,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,12,0,60,0,0,0,0,0,0,0,50
2011-07-01,3,0,0,8,0,0,3,0,0,0,13,0,0,0,0,0,0,9,19,0,0,2,4,0,0,0,17,0,0,0,0,13,0,21,0,14,14,0,0,3,0,0,0,0,0,0,0,8,23,0,0,0,0,0,0,0,4,0,0,0,76,0,0,12,0,2,2,2,0,18,0,0,0,0,19,0,0,0,0,0,0,0,0,0,20,6,0,13,0,0,0,0,0,0,0,0,23,45
2011-08-01,7,0,0,0,0,0,4,0,0,0,11,0,10,0,0,0,0,23,0,0,0,4,2,0,0,9,9,0,0,0,5,5,0,11,0,34,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,61,0,0,7,0,0,2,0,0,0,0,0,15,0,31,0,0,0,17,0,0,16,0,0,0,5,0,18,0,25,0,0,0,0,0,0,0,37
2011-09-01,14,0,0,3,0,0,4,0,0,0,47,0,9,0,0,0,0,0,0,7,0,7,6,0,0,0,17,9,9,0,0,5,0,20,0,0,0,0,0,23,0,0,0,0,0,0,0,6,11,0,0,0,0,3,3,0,0,0,0,0,28,0,6,6,0,2,0,5,0,0,14,0,28,0,36,0,14,0,16,16,0,0,0,29,29,0,0,36,0,23,0,0,0,17,0,18,0,61
2011-10-01,26,0,0,3,0,0,7,0,0,0,71,9,0,0,0,0,0,20,7,13,0,16,9,0,0,0,12,0,16,0,5,19,5,19,10,38,0,0,2,44,0,0,0,31,31,0,0,0,11,0,0,0,0,0,3,0,0,0,0,0,0,6,6,11,6,2,2,6,0,13,0,0,39,0,27,13,0,0,15,15,0,0,0,27,14,4,0,38,0,22,0,22,0,57,0,0,0,41
2011-11-01,17,0,3,0,0,0,5,0,0,0,23,0,9,0,0,0,27,10,7,7,0,12,9,0,0,0,25,8,8,0,0,24,5,30,0,20,0,0,0,10,0,0,33,0,33,0,0,6,0,0,0,31,0,3,3,0,6,0,0,0,82,6,9,41,6,2,2,3,0,13,0,0,27,0,49,0,0,0,31,23,0,29,0,14,0,7,0,46,5,22,0,0,0,34,0,0,0,54
2011-12-01,17,0,0,5,0,0,2,0,0,10,21,0,0,30,0,0,30,8,7,15,0,16,17,0,0,9,32,0,19,0,0,13,0,28,0,11,0,2,2,5,0,0,0,0,36,0,0,6,0,0,0,0,35,3,3,0,0,0,0,0,0,0,13,61,0,4,6,4,0,0,0,15,15,0,46,0,15,17,17,35,0,16,0,32,0,5,0,44,0,0,25,0,0,38,0,0,0,30
2012-01-01,16,0,0,11,0,0,8,0,0,0,9,9,9,28,0,0,28,7,7,0,0,15,10,0,0,8,13,0,0,0,5,5,5,35,10,20,0,0,2,7,0,0,98,0,0,0,0,6,6,0,0,95,0,6,0,3,0,0,0,28,56,0,6,35,6,2,2,3,0,13,0,0,0,0,14,0,0,16,0,15,0,0,15,15,0,9,0,54,0,0,0,0,0,26,0,0,17,55
2012-02-01,12,0,0,0,3,0,8,0,0,0,10,0,0,0,0,0,28,14,21,7,0,11,9,2,0,0,22,0,9,0,5,10,0,20,0,31,0,2,2,4,0,0,0,67,34,0,0,6,6,0,0,0,0,3,3,0,0,0,0,0,0,6,30,39,6,4,0,2,2,0,0,0,14,0,36,14,0,0,32,79,0,15,0,15,15,0,0,50,0,46,0,23,0,18,0,0,0,33
2012-03-01,9,0,0,0,0,0,6,1,0,10,0,0,10,28,0,0,28,7,14,7,0,9,12,0,0,9,9,0,9,0,5,10,0,21,0,10,0,0,0,2,0,0,0,0,34,0,0,6,20,0,0,0,0,9,3,0,3,0,0,0,29,0,6,18,0,10,3,0,2,14,0,0,14,0,14,14,0,0,16,16,0,15,0,0,15,5,0,36,0,0,0,0,0,0,0,0,0,28
2012-04-01,7,0,3,6,0,0,2,0,0,0,0,0,10,0,29,0,29,0,0,0,0,6,6,2,0,0,13,0,0,0,0,5,0,11,0,10,0,0,0,2,0,0,0,0,0,0,0,6,6,34,0,0,34,3,0,0,0,30,0,0,58,0,9,15,0,4,3,2,0,0,0,0,14,0,29,0,0,0,0,25,17,15,15,0,0,0,0,56,0,47,0,0,24,0,0,0,0,29
2012-05-01,5,0,0,3,0,0,3,0,0,0,0,0,10,0,0,0,30,22,7,0,0,7,6,0,0,0,14,0,0,0,0,5,0,22,0,16,0,2,0,2,0,0,36,0,0,0,0,6,25,0,0,34,0,3,0,0,0,0,0,0,30,6,0,6,6,4,5,2,0,0,0,0,0,0,15,0,0,0,0,0,0,16,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,24
2012-06-01,4,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,2,0,0,0,0,10,0,0,0,0,0,18,0,12,0,0,0,2,0,0,39,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,26
2012-07-01,5,0,0,3,0,0,1,0,0,11,0,11,0,0,0,0,0,0,8,0,0,5,6,0,0,0,0,0,0,0,0,6,0,29,0,23,0,0,0,4,0,0,37,0,0,0,0,6,13,0,0,36,0,0,0,0,0,0,0,0,63,0,0,10,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,33,0,0,37,0,26,0,0,0,0,0,0,0,56
2012-08-01,7,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,29,0,11,7,0,3,3,0,0,0,9,0,9,0,0,0,0,11,0,21,11,2,0,4,0,0,35,0,0,0,0,0,12,0,0,34,0,0,0,0,3,0,0,29,0,0,6,16,0,0,4,5,0,0,0,14,0,0,30,0,0,0,33,17,0,0,0,15,15,0,0,22,0,48,24,0,0,0,0,0,18,41
2012-09-01,15,0,0,3,0,0,3,0,0,10,24,10,10,0,0,0,0,7,7,7,0,10,3,0,0,0,0,9,9,0,0,10,0,31,0,21,0,0,0,18,0,0,0,0,34,0,0,9,17,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,6,3,8,2,0,0,14,14,0,22,29,0,0,0,0,0,15,0,30,15,0,0,33,0,0,0,46,0,18,0,0,0,28
2012-10-01,24,0,3,3,0,0,10,0,0,0,51,9,17,0,0,0,25,9,0,6,0,16,13,0,0,8,12,0,8,0,9,29,0,14,9,27,0,0,0,41,0,0,30,0,30,0,0,15,8,0,0,29,0,8,3,0,0,0,0,0,0,0,5,32,5,2,2,9,0,0,12,0,37,0,39,0,0,0,14,15,14,0,0,13,0,4,0,51,0,0,0,0,0,71,0,16,0,45
2012-11-01,17,0,3,0,0,0,7,0,0,9,26,0,0,0,0,0,0,6,6,9,0,19,14,1,0,8,16,0,12,0,0,18,0,9,0,28,0,0,0,20,0,0,30,0,30,0,0,16,18,0,0,29,0,3,3,0,0,0,0,0,26,5,5,38,5,4,2,8,2,12,0,0,12,0,26,39,13,0,0,15,0,13,0,20,13,4,0,56,0,42,0,62,21,48,0,0,0,40
2012-12-01,27,0,0,3,0,0,23,1,0,9,27,9,0,0,26,0,26,29,0,20,0,25,25,0,0,8,16,0,24,0,5,23,5,67,10,19,0,2,0,18,0,0,31,0,0,0,0,13,11,0,0,30,30,19,0,0,3,0,0,0,26,6,6,78,22,18,4,6,2,39,0,0,39,0,33,13,0,15,15,15,0,14,0,14,0,13,0,82,0,0,0,0,22,0,0,0,0,73
2013-01-01,72,0,6,0,2,0,45,1,0,32,81,32,8,23,0,0,23,68,9,9,0,65,54,2,0,18,62,7,11,0,15,74,11,48,17,9,17,5,2,49,0,0,57,28,57,0,0,10,15,0,0,55,55,34,4,3,0,0,47,0,47,15,18,91,20,29,2,10,2,35,0,12,71,0,25,30,12,27,0,47,0,56,0,62,13,18,0,56,8,0,59,20,20,30,0,15,30,75
2013-02-01,25,0,0,3,0,0,19,1,0,17,17,8,8,25,25,0,25,31,16,12,0,22,20,0,0,15,23,0,15,0,0,9,0,27,18,27,9,0,0,5,0,0,0,0,0,0,0,5,5,43,0,0,0,26,0,0,3,0,0,0,50,11,5,48,13,12,1,4,0,37,0,0,12,0,25,13,13,0,0,14,14,20,0,26,13,12,0,32,4,0,41,20,0,0,0,0,16,40
2013-03-01,14,0,2,2,0,0,5,0,0,0,8,0,8,23,0,0,23,14,11,6,0,11,7,0,0,7,14,0,7,0,4,6,0,25,8,17,0,0,0,5,0,0,0,27,0,0,0,0,7,0,0,0,0,9,5,5,2,0,0,0,46,7,5,32,10,3,1,0,0,0,0,0,22,0,29,0,0,0,0,13,0,36,0,0,12,0,0,56,0,37,0,0,0,0,0,14,0,41
2013-04-01,12,0,2,7,0,0,5,0,0,8,8,0,0,0,0,0,0,11,14,0,0,15,7,0,0,0,17,7,0,0,4,8,0,8,0,17,8,0,0,3,0,0,0,0,0,0,0,9,12,0,0,0,0,5,3,0,2,0,0,23,23,0,5,27,0,1,3,1,1,0,0,11,0,0,29,12,0,0,13,13,0,0,0,12,0,0,0,60,0,19,0,19,0,0,0,0,14,63
2013-05-01,7,0,0,7,0,0,3,0,0,0,0,8,8,0,0,0,47,6,9,6,0,6,6,0,0,7,7,0,7,0,0,0,0,9,9,22,0,0,0,2,0,0,0,28,0,0,0,5,5,0,0,0,27,3,0,0,0,24,0,0,48,0,10,33,0,1,0,0,0,0,0,0,12,0,36,0,0,0,13,27,0,12,0,0,12,8,0,26,0,0,0,0,0,0,0,0,0,47
2013-06-01,4,0,0,3,0,0,2,0,0,9,9,0,0,0,0,0,56,0,7,7,0,5,6,0,0,0,0,0,9,0,0,10,0,0,0,31,0,2,0,2,0,0,0,0,0,0,0,6,20,0,0,0,0,0,0,0,6,0,0,0,0,0,6,24,0,0,0,2,0,0,0,0,0,0,14,0,0,0,16,16,0,0,0,0,15,0,0,7,0,46,0,0,0,0,0,0,0,22
2013-07-01,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,25,0,0,6,0,4,4,0,0,0,15,8,8,0,0,13,0,18,0,18,0,0,0,5,0,0,30,0,0,0,0,5,5,0,0,28,0,0,3,0,3,0,0,25,25,0,5,13,0,0,0,0,0,0,0,0,12,0,44,0,0,0,14,14,0,13,0,0,13,4,0,19,0,0,0,0,0,0,0,0,0,34
2013-08-01,6,0,0,2,0,0,1,0,0,6,6,0,0,0,0,0,18,4,7,9,0,5,6,1,0,0,11,0,11,0,0,3,0,10,0,20,0,0,0,2,0,0,0,21,0,0,0,4,9,0,0,0,0,0,2,0,4,0,0,0,18,4,7,8,7,0,2,4,0,0,0,0,0,0,18,9,0,0,0,20,10,14,0,9,0,0,0,22,0,0,0,14,0,0,0,11,0,28
2013-09-01,15,0,0,2,2,0,6,0,0,20,24,8,16,0,0,0,24,15,6,6,0,12,7,1,0,7,7,0,7,0,8,11,0,22,0,30,0,2,0,20,0,0,29,29,0,0,0,5,5,0,0,28,0,0,0,0,3,0,0,0,24,0,5,18,5,1,1,6,0,12,0,0,24,0,61,0,0,0,14,14,0,13,0,25,0,4,0,38,0,20,0,0,0,0,0,0,0,43
2013-10-01,24,0,2,2,0,0,6,1,0,7,61,7,7,0,0,0,0,15,5,10,0,20,9,0,0,0,18,0,12,0,0,27,0,15,15,22,0,1,1,64,0,0,0,0,48,0,0,12,8,0,0,0,0,3,0,0,2,0,0,0,40,4,4,19,4,2,1,10,0,0,0,0,0,0,36,0,0,0,11,11,0,16,0,10,0,10,0,69,0,16,0,0,16,31,0,0,0,59
2013-11-01,19,0,0,2,0,0,6,0,0,8,16,0,8,0,0,0,23,12,6,12,0,14,11,1,0,0,21,0,14,0,4,20,0,17,8,13,0,2,0,21,0,0,0,0,27,0,0,9,7,0,0,0,0,3,0,3,5,0,0,0,23,5,5,37,5,4,1,6,1,0,0,0,23,0,29,0,0,0,13,13,13,36,0,12,0,12,0,47,0,19,0,0,38,0,0,29,0,32
2013-12-01,24,0,0,2,2,0,6,0,0,6,6,6,12,52,17,0,26,30,9,9,0,21,18,1,0,11,26,0,11,0,0,9,6,47,19,28,0,4,1,14,0,0,0,41,21,0,0,4,25,30,0,0,20,7,3,2,6,18,17,0,35,11,5,72,11,12,2,2,2,0,8,8,17,0,39,9,0,0,0,15,10,23,0,14,0,12,0,60,3,14,0,14,14,27,0,0,11,44
2014-01-01,37,0,2,3,0,0,21,1,0,9,15,6,6,17,17,0,17,36,13,11,0,38,28,2,0,5,24,0,13,0,3,24,0,25,6,32,0,2,0,20,0,0,41,20,0,0,0,4,14,20,0,40,30,21,0,2,2,17,52,0,35,11,9,57,11,21,6,7,2,25,0,8,25,0,39,26,0,0,10,24,10,9,9,32,9,6,0,80,9,28,0,42,42,22,0,22,0,55
2014-02-01,18,0,0,4,2,0,9,1,0,6,6,6,6,18,0,0,0,37,23,7,0,16,13,2,0,6,20,0,8,0,3,6,0,27,13,10,0,1,1,5,0,0,22,22,22,0,0,11,7,42,0,21,21,5,2,0,0,19,0,18,18,10,10,23,12,9,2,3,2,9,0,0,0,0,42,19,0,0,16,26,0,24,0,10,10,3,0,64,3,15,0,0,0,0,0,0,0,51
2014-03-01,14,0,0,0,0,0,4,0,0,6,6,0,6,0,0,0,17,19,10,0,0,17,9,2,0,5,16,5,0,0,3,4,0,25,0,34,6,0,1,2,0,0,0,20,20,0,0,0,9,19,0,0,0,8,2,0,2,0,17,17,50,4,13,41,4,3,2,1,1,8,0,0,0,0,34,8,0,0,0,33,0,9,0,0,9,3,0,58,0,0,14,0,14,11,0,0,0,60
2014-04-01,8,0,0,2,0,0,3,0,0,7,7,0,15,0,21,0,43,5,11,5,0,6,6,0,0,7,16,7,7,0,0,4,4,19,0,23,8,0,0,2,0,0,0,0,26,0,0,7,9,25,0,0,0,2,5,2,2,0,0,0,0,9,9,23,9,5,1,1,1,0,0,0,0,0,38,11,0,0,0,24,0,0,0,0,11,4,0,45,0,17,0,0,0,0,0,0,27,47
2014-05-01,8,2,0,0,0,0,1,0,0,8,0,0,8,0,0,0,24,12,12,0,0,9,4,0,0,0,7,0,0,0,0,0,0,13,0,21,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,4,3,0,0,0,0,0,23,5,15,12,5,2,3,2,3,0,0,0,0,0,72,0,0,0,13,40,0,0,12,0,12,0,0,61,0,19,0,0,0,0,0,0,0,46
2014-06-01,5,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,29,7,0,0,0,2,4,2,0,0,9,0,0,0,5,0,0,0,0,31,0,0,0,4,0,0,0,0,0,0,0,9,12,0,0,0,0,0,3,0,0,0,0,0,57,0,6,15,0,0,0,2,2,0,0,0,0,0,50,0,0,0,16,16,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,56
2014-07-01,4,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,82,0,7,0,0,5,3,0,0,0,8,0,0,0,0,5,0,40,0,20,0,0,0,0,0,0,0,0,33,0,0,6,11,0,0,0,0,0,0,0,3,0,0,0,28,0,0,12,0,0,2,2,0,0,0,0,0,0,28,0,0,0,0,0,0,14,0,0,29,0,0,12,0,0,0,0,0,0,0,0,0,27
2014-08-01,6,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,6,6,13,0,5,5,0,0,8,0,8,16,0,0,9,0,10,0,28,0,2,0,5,0,0,31,31,31,0,0,5,16,30,0,30,0,3,0,0,3,0,0,0,26,0,0,14,11,0,0,2,2,0,0,0,13,0,39,0,0,15,15,0,0,0,0,27,0,0,0,48,0,21,0,0,0,0,0,0,0,46
2014-09-01,18,0,0,2,0,0,5,0,0,16,40,0,8,0,0,0,24,18,6,24,0,13,6,1,0,0,11,0,29,0,4,19,0,39,0,35,0,0,0,23,0,0,0,0,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,0,1,1,6,3,0,0,0,12,0,42,12,0,0,0,27,0,0,0,13,38,0,0,46,0,19,0,0,0,45,0,0,0,75
