date,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza a and b,cure the flu,remedies for flu,flu shots,break a fever,flu versus cold,how long is the flu contagious,medicine for the flu,flu like symptoms,pneumonia,flu how long,fever cough,flu lasts,braun thermoscan,the flu,flu symptoms,cold vs. flu,how long flu,how long is the flu,symptoms of flu,cold and flu,flu contagious period,treating the flu,flu children,reduce a fever,how long contagious,kentucky flu,i have the flu,treat the flu,flu treatment,is the flu contagious,do i have the flu,flu 2018,cold versus flu,incubation period for the flu,flu vs cold,flu care,flu headache,flu vs. cold,human temperature,medicine for flu,flu treatments,cold vs flu,influenza type a,fight the flu,flu a symptoms,influenza symptoms,the flu virus,reduce fever,type a influenza,influenza incubation period,thermoscan,how to treat the flu,flu virus,how long does the flu last,fever flu,how long does flu last,swine flu,flu vaccine,flu cough,contagious flu,what to do if you have the flu,flu report,signs of flu,over the counter flu medicine,normal body,flu or cold,get rid of the flu,flu germs,ear thermometer,flu fever,early flu symptoms,symptoms of the flu,tamiflu,treatment for flu,taking temperature,flu contagious,flu length,bronchitis,get over the flu,type a flu,symptoms of bronchitis,what is the flu,oscillococcinum,flu medicine,flu remedies,flu complications,signs of the flu,how to get rid of the flu,body temperature
2010-01-01,10,0,0,0,0,0,0,0,32,0,0,0,0,0,44,8,4,0,2,5,8,0,15,0,15,39,0,0,39,0,37,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,56,0,34,0,17,28,100,14,0,0,0,0,0,0,32,0,0,0,0,17,0,0,4,0,0,0,0,30,0,16,0,16,0,0,0,0,0,0,35
2010-02-01,6,0,0,0,0,0,0,0,17,0,0,0,0,0,65,0,6,0,0,4,7,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,35,0,52,15,0,0,0,0,0,0,97,0,0,0,0,35,0,4,4,0,0,0,0,35,7,0,0,0,0,0,0,0,0,0,60
2010-03-01,5,0,0,0,0,0,0,0,15,0,0,0,0,0,27,4,4,0,0,3,5,0,7,0,0,37,0,0,0,0,0,0,14,0,0,0,0,0,0,0,5,0,34,0,34,0,0,54,0,0,0,20,0,0,0,0,54,0,16,0,0,13,20,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,7,0,0,0,0,35,0,0,23,0,0,0,0,0,0,0,67
2010-04-01,4,0,0,78,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,18,0,59,15,0,0,0,0,0,0,65,0,0,0,0,18,0,0,0,0,0,0,0,35,0,0,17,17,0,0,26,0,0,0,36
2010-05-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,4,0,0,2,2,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,46,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,15,0,0,0,0,17,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,37
2010-06-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,65,0,0,65,0,0,0,20,0,0,0,0,0,0,0,0,0,37,0,0,0,0,20,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,27
2010-07-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,4,0,0,0,12,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,60,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,17,0,0,0,0,0,0,25
2010-08-01,4,0,0,0,0,0,16,0,16,57,0,0,0,4,35,4,4,0,0,2,2,0,8,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,16,0,0,0,0,0,0,0,24
2010-09-01,11,73,0,73,0,0,0,0,55,0,0,0,0,0,42,0,0,0,0,11,6,0,0,7,0,0,0,0,0,0,30,15,15,0,0,0,42,0,0,0,0,0,0,0,34,0,0,0,0,0,30,0,20,0,0,0,0,0,33,0,0,14,14,28,0,0,0,0,0,0,47,0,0,0,17,0,0,0,0,0,0,0,0,36,0,0,16,32,0,0,0,0,0,0,57
2010-10-01,13,0,0,0,0,0,0,0,100,0,0,0,0,0,41,12,0,0,0,9,6,0,21,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,34,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,14,41,0,0,0,0,0,0,30,0,0,0,0,0,0,0,4,0,0,0,0,35,0,0,16,0,0,0,0,0,0,0,22
2010-11-01,11,0,0,0,0,0,0,0,30,0,0,0,0,0,60,8,4,0,2,8,10,0,0,0,7,36,0,0,36,0,35,14,0,0,40,0,0,0,0,4,0,0,0,0,65,0,52,0,0,0,38,0,19,0,0,0,0,0,48,0,0,0,13,20,13,15,0,0,15,0,0,0,0,0,16,0,0,7,0,0,0,6,0,28,0,15,15,15,0,0,0,0,0,0,22
2010-12-01,12,0,0,0,0,0,0,0,15,0,0,53,0,4,55,8,0,0,0,6,7,0,21,0,21,36,0,0,37,0,14,0,0,0,41,0,0,0,0,4,0,0,0,0,100,0,0,0,0,0,19,0,0,53,0,0,0,0,32,16,16,13,20,27,14,30,0,0,0,0,30,30,0,0,16,16,0,4,14,0,0,13,0,54,0,15,15,15,0,0,47,0,0,0,33
2011-01-01,16,0,0,84,0,9,9,9,18,32,0,32,0,0,52,8,2,0,0,14,16,0,17,8,8,43,22,0,76,0,21,13,8,0,72,24,24,0,0,0,0,0,39,0,0,31,0,0,31,0,23,0,0,31,31,0,0,0,0,10,24,8,36,12,8,18,0,9,0,0,62,18,0,0,10,24,10,4,21,0,0,6,0,45,4,18,14,9,0,0,42,0,0,0,20
2011-02-01,18,0,0,45,0,10,9,0,0,0,0,0,0,2,58,6,7,0,0,23,18,0,9,4,31,0,23,0,34,0,40,18,9,0,25,25,0,0,0,0,3,42,21,0,21,0,0,33,100,0,36,24,0,33,100,0,0,0,10,25,10,21,43,13,0,10,0,0,0,0,0,37,38,0,10,10,0,7,16,0,2,4,0,60,0,58,19,24,10,15,0,0,15,0,55
2011-03-01,9,0,0,0,0,0,0,0,9,0,0,31,0,2,51,9,2,0,1,10,7,0,16,0,16,32,0,0,43,8,12,17,8,0,0,0,0,0,0,0,3,0,19,0,19,0,62,31,0,0,11,0,0,31,0,0,31,0,9,19,0,20,12,8,0,9,0,0,9,0,17,0,0,0,9,0,0,2,6,0,0,5,0,46,4,18,22,18,0,0,28,0,0,0,45
2011-04-01,6,0,44,0,0,0,0,0,0,0,0,0,0,0,36,10,2,0,1,7,4,0,22,0,4,0,0,0,0,9,27,9,13,0,0,25,0,0,0,0,0,42,0,0,21,0,0,0,0,0,0,0,0,0,0,0,33,0,10,46,10,25,25,0,0,0,0,0,0,0,38,0,0,0,0,10,0,0,0,0,0,8,0,40,0,0,14,0,0,0,0,0,0,0,76
2011-05-01,3,0,0,0,0,0,0,0,9,0,0,0,0,2,34,2,5,0,0,2,3,0,0,0,4,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,2,0,4,0,31,0,0,9,0,9,0,0,0,0,0,53
2011-06-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,4,0,0,2,2,0,0,0,0,0,0,0,0,0,19,0,0,0,27,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,13,0,0,0,0,0,0,0,16,0,11,0,18,9,0,0,0,0,0,0,69,0,0,0,11,11,0,2,0,0,0,0,0,31,0,0,0,10,0,0,0,0,0,0,58
2011-07-01,2,0,0,0,0,0,0,0,0,0,0,0,0,2,26,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,9,9,9,0,26,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,9,9,0,0,0,0,0,19,0,0,0,0,0,10,0,0,0,0,0,0,16,0,0,10,0,0,0,0,0,0,0,35
2011-08-01,4,0,0,0,0,0,0,0,9,0,0,0,31,0,22,2,0,0,1,4,1,0,4,0,4,21,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,19,0,0,19,61,0,0,0,0,0,11,0,0,0,0,0,0,0,9,9,8,0,8,0,0,0,0,0,0,17,0,0,0,0,9,0,2,0,0,2,0,0,29,0,0,0,9,0,0,0,0,0,0,19
2011-09-01,11,0,0,0,0,0,0,0,25,30,0,0,0,2,48,4,2,0,0,8,6,0,8,4,4,61,0,0,20,0,16,12,8,0,0,0,0,0,0,0,0,19,0,0,37,0,0,0,0,0,32,0,11,0,0,0,30,0,9,0,9,8,19,45,8,17,0,0,0,0,17,0,17,0,0,9,9,2,0,0,0,7,0,50,0,0,13,13,0,0,0,0,0,0,68
2011-10-01,15,0,0,0,0,0,0,0,84,28,0,0,0,2,58,5,2,0,1,8,6,0,11,0,15,19,0,0,19,0,15,26,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,15,0,10,0,0,0,0,0,9,9,9,7,7,68,7,0,0,0,16,0,32,16,0,0,0,9,0,6,0,0,2,0,0,52,0,0,0,8,0,13,13,0,13,0,52
2011-11-01,10,31,0,31,0,0,0,0,17,0,0,0,0,3,51,2,3,0,0,7,7,0,3,0,9,24,0,0,0,0,12,12,0,0,18,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,17,8,17,0,0,0,0,0,14,0,7,0,12,18,6,0,0,0,0,0,26,0,0,0,0,7,0,0,0,0,0,3,0,58,0,7,7,17,7,0,0,0,0,0,77
2011-12-01,10,0,26,0,0,0,6,6,6,0,0,20,0,2,69,6,3,0,0,7,8,0,10,0,21,40,0,0,13,0,37,5,5,0,22,0,15,0,0,0,2,12,12,0,24,19,0,19,0,0,11,14,0,19,0,0,0,0,18,6,6,10,7,12,0,11,0,0,0,0,39,11,0,0,0,6,0,4,0,1,3,6,0,54,5,6,11,6,0,9,0,0,0,0,28
2012-01-01,8,0,0,0,0,0,0,0,17,20,0,20,0,0,72,6,1,0,0,6,6,0,8,0,0,14,0,0,14,0,24,0,11,0,15,15,0,0,0,0,2,0,12,0,12,39,0,20,0,0,7,7,7,0,0,0,0,0,24,12,6,10,13,15,5,6,0,0,6,0,33,0,0,0,6,6,0,3,1,0,0,5,0,52,0,11,11,11,6,0,18,0,0,0,49
2012-02-01,10,0,0,0,0,0,0,0,6,44,0,0,0,3,60,6,2,0,0,12,10,0,12,0,12,60,0,0,15,6,23,6,6,0,50,0,0,0,0,0,2,14,0,0,21,22,0,22,0,16,0,8,12,33,0,0,0,7,13,10,20,11,11,8,6,0,0,0,0,12,43,0,0,0,7,20,0,2,11,3,0,8,0,45,0,9,6,6,13,20,0,0,0,9,63
2012-03-01,9,0,0,0,0,0,7,0,7,51,0,25,0,0,62,5,7,0,0,9,11,0,10,0,10,17,0,0,17,0,14,7,0,0,19,0,0,0,0,0,0,0,16,0,24,25,0,0,0,0,14,0,9,25,0,0,0,0,23,8,15,13,16,6,0,14,0,0,0,0,21,14,14,0,0,15,0,0,10,0,0,4,0,48,0,7,15,11,0,0,0,0,0,0,57
2012-04-01,3,0,0,0,0,8,0,0,0,27,0,0,0,2,38,0,4,0,1,4,6,0,0,0,4,19,0,0,19,0,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,15,27,0,0,0,0,8,0,17,0,14,0,0,0,0,0,0,0,39,0,0,0,8,17,8,0,6,0,0,0,0,44,0,0,8,12,8,0,0,12,0,0,34
2012-05-01,3,0,0,0,0,0,0,0,0,46,0,0,0,2,35,2,2,0,1,1,3,0,3,0,0,31,0,0,0,0,34,6,0,0,17,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,8,0,0,0,0,0,0,0,7,0,7,6,0,12,0,0,0,0,0,0,52,0,0,0,7,7,0,0,2,0,0,0,0,34,0,0,10,0,0,10,0,0,0,0,38
2012-06-01,4,0,0,0,0,0,0,0,0,25,0,0,0,0,31,2,0,0,0,4,3,0,0,0,0,34,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,16,0,16,0,0,0,0,0,9,0,9,25,0,0,25,0,8,8,15,0,6,0,0,0,0,0,0,0,42,14,0,0,0,15,0,0,2,0,0,0,0,22,0,0,11,7,7,0,0,0,0,0,41
2012-07-01,2,0,0,0,0,0,0,0,0,0,0,0,0,4,32,2,2,0,0,2,2,0,3,0,3,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,8,0,0,0,10,0,7,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,22,0,0,0,0,0,0,0,37
2012-08-01,6,0,0,0,0,0,0,0,18,0,0,0,0,2,37,0,2,0,0,4,5,0,0,0,0,0,0,0,0,0,21,14,0,0,20,20,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,26,0,0,0,0,23,0,0,0,42,13,0,0,0,0,0,0,51,0,0,0,0,0,0,2,0,0,2,0,0,26,0,0,15,0,7,0,12,0,0,0,32
2012-09-01,11,0,0,0,0,0,0,0,18,0,0,0,0,2,57,2,4,0,0,8,9,0,3,0,13,25,0,0,0,0,17,13,7,0,19,0,0,0,0,0,0,15,0,0,15,0,0,0,0,9,9,0,9,0,0,0,0,0,0,0,15,0,13,38,0,7,0,0,0,0,56,0,0,0,8,15,0,0,2,0,0,3,0,59,0,0,0,7,0,0,0,0,0,0,26
2012-10-01,15,0,0,0,0,0,0,6,36,20,0,0,0,3,48,4,2,0,1,10,7,0,5,0,13,40,0,0,13,0,10,5,5,15,22,0,0,0,0,0,0,12,18,0,30,0,0,0,19,0,25,7,14,29,19,0,0,6,12,6,15,5,10,32,10,6,0,0,0,0,55,11,0,0,0,15,0,4,3,0,3,2,0,57,0,0,6,22,0,0,0,0,0,0,84
2012-11-01,13,0,0,0,0,0,0,0,19,19,0,19,0,1,56,3,3,0,1,10,12,0,5,0,10,13,0,0,26,0,33,5,5,0,0,0,15,0,0,2,0,0,12,0,24,19,0,0,0,0,0,7,0,19,0,0,0,6,17,12,20,0,5,12,15,16,0,0,5,0,22,11,0,0,6,20,6,0,8,0,0,6,0,50,0,0,14,8,0,0,9,0,9,0,83
2012-12-01,24,31,0,31,0,0,0,7,20,35,0,46,0,3,52,12,3,0,0,23,25,0,25,0,37,24,0,0,16,0,22,6,6,18,18,18,0,0,0,0,4,22,43,0,36,23,0,46,0,8,25,8,17,35,0,0,0,7,28,11,25,9,12,29,9,40,0,0,7,0,20,20,13,7,7,25,0,6,21,2,2,14,0,58,0,27,7,13,7,42,10,0,0,10,62
2013-01-01,53,0,29,87,0,0,6,12,34,65,0,44,22,2,64,28,3,0,0,52,50,0,38,9,64,45,15,0,97,0,32,41,12,25,33,100,50,0,0,2,2,27,0,0,14,22,0,22,43,0,35,16,16,22,43,0,43,7,56,17,46,11,33,47,19,31,0,12,62,12,37,25,12,7,7,46,27,13,55,1,3,17,3,50,0,25,9,22,13,19,10,0,19,0,81
2013-02-01,26,0,0,0,0,0,0,13,27,24,0,24,0,2,63,13,5,0,1,27,26,0,19,3,34,80,0,0,16,0,34,6,6,18,45,18,27,0,0,2,2,0,15,0,22,23,46,23,23,0,34,8,8,23,23,0,23,0,25,28,25,18,6,9,6,33,7,7,7,0,40,13,13,0,0,25,7,14,22,2,2,11,0,59,0,14,7,17,0,31,21,0,10,0,82
2013-03-01,14,0,0,0,0,0,6,6,6,21,0,0,0,1,57,10,3,0,0,15,13,0,27,0,8,28,0,0,0,11,22,16,8,0,23,47,0,0,0,0,2,13,0,0,13,0,20,20,0,0,22,7,15,20,0,0,0,6,19,19,22,21,16,5,5,17,0,0,0,0,46,12,12,0,0,22,0,3,18,1,1,7,0,53,0,12,9,6,0,0,9,0,0,8,47
2013-04-01,8,0,0,28,0,0,0,12,0,32,0,21,0,2,45,8,2,0,0,12,7,0,14,3,14,15,0,0,36,6,17,0,11,0,16,49,16,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,15,21,0,0,0,0,10,10,16,8,0,16,5,0,0,6,6,0,30,0,0,0,0,16,0,6,6,0,0,5,0,46,3,18,24,0,0,9,0,0,0,0,61
2013-05-01,4,0,0,0,0,0,0,0,6,21,0,0,21,3,34,2,5,0,0,3,4,0,0,0,0,14,0,0,0,0,11,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,23,0,0,0,0,0,16,6,0,11,11,0,0,0,0,0,0,0,36,0,12,0,6,0,0,0,4,0,0,2,0,56,0,0,6,6,0,0,0,0,0,9,48
2013-06-01,3,0,0,0,0,0,0,0,0,44,0,0,0,2,27,0,3,0,0,1,1,0,0,0,0,15,0,0,0,0,20,6,6,0,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,6,0,0,6,0,0,0,0,67,12,0,0,13,7,0,0,0,0,0,3,0,23,3,0,6,0,0,0,0,0,0,0,45
2013-07-01,2,0,0,0,0,0,0,0,0,0,0,0,0,2,30,0,3,0,0,1,3,0,0,0,0,15,0,0,0,0,18,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,20,0,7,6,6,6,0,0,0,0,0,0,38,0,0,0,0,7,0,0,0,0,2,0,0,25,0,0,13,6,0,0,0,0,0,0,27
2013-08-01,3,0,0,0,0,0,0,0,6,20,0,0,0,1,24,1,4,0,1,3,3,0,3,0,3,14,0,0,0,5,13,0,5,15,0,0,15,0,0,0,2,0,0,0,12,0,0,20,0,0,7,7,0,20,0,0,0,0,6,6,9,5,5,13,0,0,0,0,6,0,67,22,11,0,0,9,6,0,0,0,0,2,0,37,0,0,11,0,0,0,0,0,0,0,33
2013-09-01,10,0,0,0,0,0,0,4,38,14,0,0,0,2,44,1,2,0,0,5,5,0,2,0,9,10,0,0,10,4,19,0,4,0,11,0,0,0,0,0,1,0,0,0,18,0,0,14,14,0,5,0,0,0,14,0,0,0,4,4,4,7,0,47,0,4,0,0,4,0,40,0,0,0,6,4,0,2,3,0,1,2,0,49,0,4,4,4,0,0,0,0,0,6,84
2013-10-01,18,0,0,0,0,0,0,0,46,20,0,0,14,3,49,5,1,0,0,12,9,0,9,2,4,37,0,0,9,4,20,5,0,0,10,0,10,0,0,0,1,25,8,0,13,13,13,13,0,0,10,7,10,40,0,0,13,0,10,6,14,7,5,51,7,11,0,0,0,0,23,15,8,4,8,14,8,2,1,1,1,3,0,37,0,0,14,12,0,6,0,0,0,6,47
2013-11-01,12,0,0,0,0,0,0,4,15,31,0,16,0,2,63,8,2,0,1,9,9,0,14,0,18,54,0,0,11,4,33,12,0,0,0,24,0,0,0,0,0,0,10,0,19,0,0,0,0,0,11,11,6,0,0,0,16,0,5,0,5,10,8,38,6,4,0,0,4,0,39,9,9,5,5,5,0,2,5,0,0,4,0,57,0,4,7,7,4,7,7,0,14,0,61
2013-12-01,23,0,0,0,0,0,0,11,7,31,0,31,31,2,68,17,6,0,0,20,26,0,29,2,20,37,11,0,16,6,45,0,6,23,12,29,0,0,0,0,1,10,24,0,19,30,30,15,15,6,17,11,0,31,15,0,0,0,14,9,33,16,18,21,10,26,0,9,13,9,26,17,0,5,7,33,14,7,11,0,0,12,0,73,2,29,4,9,4,28,21,0,28,0,67
2014-01-01,39,20,40,0,0,4,0,4,13,15,0,30,22,3,59,21,3,0,1,33,35,0,36,2,28,67,0,0,20,4,36,28,10,11,46,34,11,0,0,0,4,14,14,0,23,30,0,44,15,5,27,5,8,15,15,0,30,5,32,32,55,23,25,53,13,25,0,4,13,13,55,13,13,0,9,55,11,5,25,0,1,12,2,71,0,26,6,26,9,13,20,7,20,6,80
2014-02-01,14,0,0,0,0,0,0,0,0,0,0,18,18,3,51,10,3,0,0,13,11,0,14,0,12,42,0,0,36,0,16,5,14,13,20,13,13,0,0,0,1,0,22,0,22,26,0,17,0,0,25,6,16,0,0,0,0,0,11,5,16,0,16,4,7,20,0,0,10,0,20,0,0,0,0,16,0,5,10,0,1,9,0,45,2,5,10,15,5,8,8,8,8,0,51
2014-03-01,8,0,0,0,0,0,0,0,10,18,0,0,18,1,52,4,2,0,0,8,6,0,5,2,9,30,0,0,12,0,23,5,5,13,13,0,13,0,0,0,1,0,0,0,22,0,0,17,17,0,19,6,19,0,17,0,0,5,11,8,8,9,13,9,0,10,0,0,0,0,44,10,10,0,5,8,0,4,8,1,1,3,0,40,2,5,10,10,5,8,0,0,8,7,62
2014-04-01,6,0,0,0,0,5,0,0,0,26,0,0,0,1,38,4,3,0,0,6,6,0,7,0,5,18,0,0,12,0,14,9,5,0,0,0,13,0,0,0,0,0,0,0,16,0,0,0,0,0,12,6,0,0,0,0,0,5,5,10,8,4,4,9,0,0,0,0,0,0,63,10,0,0,0,8,0,0,2,0,1,0,0,37,2,7,10,5,5,0,8,0,0,0,35
2014-05-01,5,0,0,0,0,0,0,0,0,0,0,0,0,3,30,2,2,0,0,4,3,0,4,0,9,11,0,0,11,0,20,0,4,13,13,0,0,0,0,0,0,10,0,0,10,16,0,0,0,6,12,6,6,16,0,0,0,0,5,0,0,4,8,0,4,5,0,0,5,9,42,0,9,0,0,0,5,2,0,1,2,2,0,37,0,0,0,5,0,7,0,0,7,7,20
2014-06-01,4,0,0,0,0,0,0,6,0,0,0,0,0,3,22,2,2,0,0,2,3,0,3,0,3,0,0,0,0,0,17,0,6,0,16,0,0,0,0,0,0,0,13,0,13,0,0,0,0,0,0,8,8,0,0,0,0,0,6,0,6,11,0,5,5,0,0,0,0,0,48,0,0,0,0,6,0,0,1,1,1,0,0,24,0,0,6,6,0,0,9,0,9,0,26
2014-07-01,3,0,0,0,0,0,0,12,12,21,0,0,0,2,27,2,3,0,0,2,2,0,0,0,3,15,0,0,0,0,11,0,6,0,16,0,0,0,0,0,2,0,0,0,13,0,0,21,0,0,8,0,0,21,0,0,21,0,6,0,0,5,5,11,0,0,0,0,0,0,30,0,0,0,0,0,0,0,1,0,0,0,0,19,0,0,0,0,0,0,0,9,0,0,44
2014-08-01,3,0,0,0,0,0,0,0,9,32,0,0,0,2,29,2,6,0,1,3,4,0,0,0,2,11,0,0,0,4,9,4,0,0,0,0,0,0,0,0,0,0,0,0,10,16,0,0,0,0,9,6,0,16,0,0,0,0,10,0,5,4,0,10,0,0,0,0,0,0,36,0,0,0,5,5,0,1,2,0,1,0,0,25,0,5,7,5,0,14,0,0,0,0,43
2014-09-01,11,0,0,0,0,0,0,0,32,22,0,0,0,1,50,2,2,0,0,4,4,0,6,0,4,15,0,0,10,0,26,10,4,11,0,0,0,0,0,0,0,0,0,0,19,15,0,0,0,5,5,0,5,22,0,0,0,0,18,0,14,6,4,36,0,4,0,0,0,0,50,0,8,0,4,14,5,1,4,1,1,2,0,28,0,4,6,4,4,13,0,0,0,6,64
