date,flu,influenza a and b,pneumonia,flu how long,fever cough,flu and cold,braun thermoscan,the flu,flu symptoms,cure flu,how long flu,how long is the flu,symptoms of flu,fever reducer,cold and flu,how long contagious,i have the flu,low body,flu treatment,man flu,is the flu contagious,flu shot,flu vs cold,flu symptoms 2018,human temperature,high fever,cold vs flu,dog flu,influenza symptoms,the flu virus,side effects of flu shot,influenza incubation period,thermoscan,normal body temperature,how long does the flu last,cdc flu map,fever flu,stomach flu,how long does flu last,influenza a,swine flu,flu cough,contagious flu,signs of flu,normal body,is flu contagious,ear thermometer,flu fever,symptoms of the flu,taking temperature,keto flu,flu contagious,bronchitis,flu symptoms 2017,symptoms of bronchitis,oscillococcinum,flu medicine,flu shot side effects,body temperature
2010-01-01,23,0,36,0,0,0,0,41,51,0,0,0,66,0,0,0,0,81,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2010-02-01,20,0,85,0,0,0,0,42,26,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,100
2010-03-01,20,0,54,0,0,0,0,28,46,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,18,0,100,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,44
2010-04-01,14,0,23,0,0,0,0,30,0,0,58,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0
2010-05-01,18,0,26,0,0,0,0,45,28,0,0,0,0,0,0,81,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
2010-06-01,10,0,58,0,0,0,0,25,31,0,0,0,0,0,0,0,0,100,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,60
2010-07-01,7,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0
2010-08-01,6,0,52,65,0,0,0,0,0,0,65,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,54
2010-09-01,21,0,22,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,70
2010-10-01,26,0,65,0,0,0,0,56,46,0,0,0,0,0,0,0,0,0,93,0,100,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,43,100,0,0,0,0,0,0,28,0,0,0,0,0,0
2010-11-01,35,0,52,0,0,0,0,18,0,0,0,0,58,0,0,66,0,0,90,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,84,0,0,0,0,0,0,0,28,0,0,0,0,0,43
2010-12-01,39,0,31,0,0,100,0,36,22,0,0,0,0,0,100,0,0,0,89,0,0,23,100,0,0,0,100,0,0,0,0,0,0,90,0,0,0,100,0,17,0,0,0,81,0,0,0,0,100,0,0,0,41,0,0,100,0,0,43
2011-01-01,17,0,64,0,0,0,0,15,25,0,0,0,0,0,0,0,0,40,0,0,0,17,57,0,0,39,57,0,20,0,0,0,0,0,77,0,0,32,0,0,50,0,52,0,24,0,0,0,0,0,0,0,76,0,95,0,0,0,24
2011-02-01,31,0,49,0,0,0,0,26,26,57,0,0,0,0,0,0,0,0,53,0,57,9,0,0,84,0,0,0,31,76,0,0,0,0,0,0,0,51,0,10,53,0,54,48,25,0,0,0,0,0,0,45,64,0,100,0,0,0,0
2011-03-01,17,0,78,0,85,0,0,10,36,0,0,0,31,78,0,52,0,38,48,0,0,8,0,0,0,37,0,0,75,0,0,0,0,48,0,0,72,31,0,47,0,0,0,0,22,0,0,72,0,77,0,0,66,0,90,0,0,0,23
2011-04-01,7,0,59,0,0,0,0,20,25,0,0,0,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,57,81,0,0,38,0,0,0,0,0,73
2011-05-01,7,0,38,31,0,0,0,11,13,0,31,0,35,0,0,39,0,43,0,0,0,9,0,0,0,41,0,0,21,0,0,0,0,0,0,0,0,17,0,11,0,0,55,0,0,0,0,0,0,0,0,46,49,0,0,0,0,0,26
2011-06-01,10,0,41,0,0,0,0,12,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,57
2011-07-01,10,0,21,0,0,0,0,12,15,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,61,0,0,0,19,0,0,0,0,0,0,28,0,0,0,0,0,0,0,19,0,0,0,0,0,29
2011-08-01,8,0,44,0,64,0,0,11,14,0,0,0,0,0,0,0,0,0,54,0,0,9,0,0,87,63,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,52,0,0,0,26
2011-09-01,16,0,42,30,61,0,100,10,0,0,30,0,0,0,0,0,0,41,0,100,0,9,0,0,0,40,0,0,0,0,0,0,0,78,0,0,0,17,0,0,0,0,0,0,36,0,100,0,0,0,0,0,16,0,0,0,0,0,50
2011-10-01,52,0,17,0,0,0,0,29,36,0,28,0,31,0,0,35,0,39,48,0,0,25,0,0,0,75,0,0,19,0,100,0,0,0,0,0,0,16,0,0,0,0,0,44,23,0,47,0,0,0,0,0,29,0,46,0,93,65,35
2011-11-01,17,0,50,0,0,0,0,29,18,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,37,0,0,0,0,98,0,0,48,0,0,0,38,0,0,0,0,49,0,22,0,0,0,0,0,0,41,22,0,0,0,0,0,46
2011-12-01,22,0,66,0,0,0,0,24,47,0,0,45,0,0,0,34,0,0,0,0,51,12,0,0,0,0,0,0,0,0,0,0,0,47,0,0,71,45,0,9,0,0,0,0,0,0,0,71,0,0,0,0,43,0,45,0,0,0,23
2012-01-01,21,0,69,0,100,0,0,21,26,0,0,0,0,0,0,92,0,34,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,43,0,0,0,41,0,0,0,0,88,0,100,0,0,0,0,0,0,73,65,0,0,0,0,0,31
2012-02-01,15,0,60,0,0,0,0,26,21,0,0,0,0,0,0,32,0,34,0,0,0,7,0,0,0,0,0,0,17,0,0,0,0,43,0,0,0,28,0,0,42,0,0,0,20,45,0,0,0,0,0,0,33,0,0,0,0,0,21
2012-03-01,12,0,59,0,0,0,0,9,0,0,0,0,0,0,0,62,0,68,0,0,0,0,0,0,68,33,0,0,0,0,0,0,0,43,0,0,0,14,0,0,42,0,0,0,39,46,0,0,0,68,0,0,52,0,0,0,0,0,41
2012-04-01,7,0,61,0,51,25,0,18,11,0,0,42,0,0,0,31,0,0,0,0,0,0,0,0,0,100,0,0,34,0,0,0,0,44,66,0,65,0,55,8,0,0,45,0,21,0,0,65,0,0,0,37,40,0,41,0,0,0,21
2012-05-01,10,0,21,26,0,0,0,18,0,0,26,0,0,0,0,0,0,54,0,0,48,8,0,0,0,35,0,0,18,0,0,0,0,0,0,0,0,14,0,18,0,0,0,0,0,0,0,0,0,0,0,0,41,0,43,0,0,0,22
2012-06-01,4,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,80,38,0,0,20,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,31,0,47,0,0,0,24
2012-07-01,12,0,22,0,0,27,0,0,18,0,0,0,30,79,27,34,0,38,0,0,0,8,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,9,0,0,0,43,0,0,0,0,0,0,0,0,43,0,0,0,0,0,23
2012-08-01,11,0,21,0,0,0,0,0,11,0,0,0,29,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,44,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,21
2012-09-01,17,0,55,0,0,0,0,13,21,0,50,0,28,0,0,31,0,34,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,85,0,0,0,20,0,0,0,0,0,0,0,33,0,0,0,0,0,21
2012-10-01,43,0,67,0,0,0,75,31,10,0,22,0,25,0,0,42,0,0,0,74,0,46,43,0,0,0,43,0,0,0,0,0,98,0,0,0,0,19,0,8,0,0,0,0,18,0,38,0,43,0,0,0,47,0,0,43,0,52,56
2012-11-01,24,0,49,22,0,0,0,19,43,0,22,0,25,0,0,56,0,31,0,0,0,17,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,25,0,0,0,0,80,0,18,0,0,0,0,0,0,66,29,0,37,0,0,0,19
2012-12-01,33,80,95,45,69,22,0,39,48,0,45,38,25,0,0,85,35,0,0,0,0,13,44,0,0,30,44,0,38,0,80,100,0,0,0,0,0,50,100,53,0,0,100,0,18,42,0,0,87,0,0,100,59,0,0,44,76,0,19
2013-01-01,100,70,60,100,41,20,0,70,99,0,100,100,100,58,0,38,0,55,34,0,37,30,0,0,0,27,0,33,95,100,0,90,0,35,53,0,0,61,0,61,34,0,53,0,32,37,0,0,77,0,0,29,37,0,33,0,67,47,42
2013-02-01,19,0,61,22,45,21,0,30,19,0,22,36,24,63,21,28,0,60,0,0,0,6,42,0,60,0,42,0,30,0,0,0,0,38,57,0,57,18,48,7,38,41,39,0,0,0,0,57,0,0,0,0,34,0,36,0,0,0,18
2013-03-01,26,70,56,20,0,19,0,17,30,0,20,0,33,0,0,38,31,0,0,0,0,6,0,0,55,0,0,0,14,0,0,0,0,0,0,0,0,11,0,0,0,0,35,0,16,0,0,0,39,0,0,0,26,0,0,0,0,0,17
2013-04-01,13,69,28,59,40,0,0,24,42,0,59,0,22,0,0,25,31,0,0,0,0,6,0,0,0,26,0,32,27,0,0,0,0,34,0,0,0,27,0,13,0,37,0,0,24,36,0,0,38,54,0,0,15,0,0,0,0,0,0
2013-05-01,6,0,26,0,0,0,0,15,9,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,12,0,0,0,0,38,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,36
2013-06-01,14,0,19,24,0,0,0,12,20,0,24,0,26,0,0,0,0,33,0,0,0,7,0,0,0,32,0,0,0,0,0,0,0,41,0,0,0,20,0,0,0,0,0,38,0,0,0,0,0,0,0,0,31,0,0,0,0,0,80
2013-07-01,8,0,9,0,0,0,0,12,0,43,0,0,0,0,0,29,0,31,0,0,0,0,0,0,0,45,0,0,0,0,0,0,100,0,0,0,0,25,0,0,0,0,41,0,18,0,0,0,0,0,0,34,30,0,37,44,0,0,38
2013-08-01,4,0,52,0,0,0,0,15,9,0,0,0,0,0,0,0,0,30,0,0,0,6,0,0,0,29,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,17,0,0,0,0,0,18
2013-09-01,20,0,61,0,41,0,0,14,0,0,0,0,23,0,0,0,0,0,0,0,0,18,0,0,0,27,0,0,14,0,0,0,0,35,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,33,0,0,0,26
2013-10-01,42,0,38,19,0,18,0,10,8,0,28,0,42,0,0,23,0,78,0,0,0,47,0,0,0,25,0,0,13,47,67,0,0,0,0,0,49,10,0,6,0,0,0,0,23,0,0,49,0,0,0,0,54,0,31,0,63,0,39
2013-11-01,20,0,50,19,39,0,0,20,8,0,19,32,22,0,0,0,0,53,0,0,36,31,0,0,53,0,0,0,13,48,0,0,0,0,51,0,0,11,0,0,33,0,0,0,16,36,0,0,0,0,0,0,76,0,32,37,0,91,64
2013-12-01,35,0,70,18,37,18,0,22,35,0,18,0,20,52,0,46,0,0,0,0,34,19,0,0,51,49,0,0,25,0,0,0,0,0,0,0,48,61,0,6,0,0,32,0,15,34,0,48,35,0,0,0,43,0,30,0,0,0,15
2014-01-01,35,0,55,35,35,33,0,24,41,0,34,0,29,0,50,54,27,47,0,0,0,28,0,0,0,23,0,0,59,0,0,0,0,30,0,0,67,38,77,6,60,0,31,54,14,0,0,67,0,0,0,26,36,0,56,0,58,0,29
2014-02-01,27,0,60,19,0,0,0,20,32,0,19,0,0,0,0,24,29,26,0,0,0,6,0,0,78,0,0,0,32,0,0,0,0,0,0,0,0,16,0,19,65,0,34,0,46,0,0,0,0,0,0,28,50,0,61,0,0,0,31
2014-03-01,13,0,56,35,35,17,0,18,11,0,26,0,19,50,17,0,0,47,0,0,0,5,0,0,48,35,0,0,0,0,0,0,0,30,0,0,0,34,0,0,0,0,0,0,28,32,0,0,33,48,0,0,50,0,57,0,0,0,14
2014-04-01,19,0,59,17,0,0,0,12,19,0,17,0,0,0,0,0,27,60,0,0,0,5,34,0,0,23,34,58,12,0,0,0,0,30,0,0,45,29,0,6,0,0,0,27,14,0,0,45,0,0,0,0,59,0,0,0,0,0,15
2014-05-01,11,0,62,0,39,0,0,7,8,0,19,0,0,0,0,36,0,53,0,0,0,0,0,0,0,38,0,0,13,0,0,0,0,0,0,0,0,21,0,0,0,0,34,0,16,0,0,0,0,53,0,0,40,0,31,0,0,0,16
2014-06-01,7,0,51,23,95,0,0,0,10,0,23,0,26,0,0,29,0,32,0,0,0,0,0,0,64,0,0,38,0,0,0,0,0,0,61,0,60,39,0,0,0,0,41,0,0,0,0,60,0,0,0,34,24,0,0,0,0,0,58
2014-07-01,5,0,32,22,46,0,0,0,19,0,22,0,25,0,0,42,0,31,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,78,0,0,0,13,0,8,0,0,0,0,18,0,0,0,0,0,0,0,36,0,37,0,0,0,0
2014-08-01,13,0,36,0,0,0,0,12,10,0,0,0,0,0,0,56,0,31,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,37,0,0,38,0,0,0,18,0,37,0,0,0,0,0,18,0,0,0,0,0,19
2014-09-01,23,0,53,0,0,20,0,14,17,0,20,0,0,0,0,25,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,11,0,0,35,76,0,0,33,0,0,0,0,56,0,0,74,0,0,0,0,0,59
2014-10-01,57,0,79,19,38,0,0,42,24,0,19,0,31,0,0,23,0,26,0,0,0,50,0,0,52,25,0,0,0,47,67,0,0,33,0,0,98,26,0,0,0,0,0,0,15,0,31,98,36,0,0,0,59,0,0,0,0,44,55
